,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
1951,4859638,266,0,0,0,0,2,1,2868,1,passed,1247
1952,4864934,2,0,0,0,0,3,1,2918,1,passed,1204
1953,4864939,21292,0,0,0,0,104,1,169,1,passed,1161
1954,4870994,11,0,0,0,0,3,1,169,1,passed,1170
1955,4872386,0,0,0,0,0,1,1,1,1,passed,1310
1956,4876251,30,0,1010,1,0,1,2,30,2,passed,1288
1957,4880807,2031,0,0,0,0,5,2,181,2,passed,1383
1958,4897136,2,0,0,0,0,10,1,3051,1,passed,1480
1959,4897257,11010,0,1314,0,0,52,2,234,2,passed,1234
1960,4900063,0,0,0,0,0,1,2,3,2,passed,1194
1961,4901378,0,0,0,0,0,1,1,5,1,passed,1263
1962,4902431,4,0,0,0,0,2,2,301,2,passed,1250
1963,4907355,76,0,0,1,0,3,2,40,2,passed,1272
1964,4908908,60,0,0,0,0,3,1,21,1,passed,1249
1965,4923637,32444,0,476,0,0,567,3,1005,3,passed,1191
1966,4923641,17538,0,476,0,0,567,1,1008,1,passed,1151
1967,4926185,9,0,0,0,0,3,2,205,2,passed,1236
1968,4950615,2,0,0,0,0,1,1,76,1,passed,1267
1969,4953066,15,0,0,0,0,1,1,18,1,passed,2759
1970,4953534,0,0,0,0,0,1,1,77,1,passed,1408
1971,4953895,24,0,30,2,0,0,1,0,1,passed,1300
1972,4955012,5,0,0,0,0,1,1,22,1,passed,1193
1973,4958391,18,0,0,0,0,1,1,14,1,passed,1255
1974,4961258,27,0,0,0,0,1,1,19,1,passed,1346
1975,5007171,31,0,0,0,0,1,1,20,1,passed,1388
1976,5017060,4,0,0,0,0,1,1,15,1,passed,1332
1977,5044322,2,0,0,0,0,2,1,2871,1,passed,1373
1978,5099685,2,0,0,0,0,10,1,3080,1,passed,1201
1979,5099720,12,0,0,0,0,6,1,919,1,passed,1138
1980,5127493,0,0,0,0,0,1,1,152,1,passed,1254
1981,5129080,0,0,0,0,0,1,1,153,1,passed,1193
1982,5129086,4,0,0,0,0,10,1,3081,1,passed,929
1983,5129115,2,0,0,0,0,2,1,2874,1,passed,993
1984,5129542,2,0,0,0,0,2,1,2875,1,passed,974
1985,5129546,12,0,0,0,0,6,1,920,1,passed,938
1986,5129847,2,0,0,0,0,10,1,3087,1,passed,992
1987,5134400,155,0,0,0,0,4,3,216,3,passed,1040
1988,5134773,2,0,0,0,0,1,1,8,1,passed,1059
1989,5158049,2,0,0,0,0,2,1,2880,1,passed,1170
1990,5158322,2,0,0,0,0,2,1,2881,1,passed,1199
1991,5189880,2,0,0,0,0,2,1,2882,1,passed,1547
1992,5202851,2,0,0,0,0,2,1,2918,1,passed,1325
1993,5203291,2,0,0,0,0,2,1,2919,1,passed,1498
1994,5203414,40,0,0,0,0,1,1,146,1,passed,1671
1995,5203479,2,0,0,0,0,2,1,2920,1,passed,1346
1996,5203481,5,0,0,0,0,1,1,147,1,passed,1377
1997,5203653,2,0,0,0,0,2,1,2921,1,passed,1487
1998,5207244,2,0,0,0,0,2,1,2922,1,passed,1326
1999,5207695,2,0,0,0,0,2,1,2923,1,passed,1329
2000,5209549,2,0,0,0,0,2,1,2924,1,passed,1453
2001,5211261,7,0,0,0,0,1,1,84,1,passed,1386
2002,5213940,2,0,0,0,0,2,1,2925,1,passed,1476
2003,5223582,2,0,0,0,0,2,1,2926,1,passed,1730
2004,5224569,267,0,0,0,0,4,3,75,3,passed,1516
2005,5225707,2,0,0,0,0,2,1,2927,1,passed,1052
2006,5227692,2,0,0,0,0,2,1,2928,1,passed,1087
2007,5249639,2,0,0,0,0,2,1,2929,1,passed,1248
2008,5250910,319,0,69,0,0,11,3,229,3,passed,1217
2009,5252027,48,0,2,0,0,5,4,113,4,passed,1287
2010,5255555,15,0,0,0,0,4,1,234,1,failed,1077
2011,5255717,88,0,0,0,0,11,2,1048,2,failed,1012
2012,5255926,2,0,0,0,0,1,1,863,1,failed,1238
2013,5256246,115,0,0,0,0,10,1,221,1,failed,1144
2014,5256308,0,0,2,0,0,1,1,27,1,passed,1010
2015,5256882,2,0,0,0,0,2,1,2933,1,passed,1346
2016,5257810,315,0,0,0,0,2,2,311,2,passed,1289
2017,5257986,1390,0,0,6,0,5,1,9,1,passed,1209
2018,5258700,65,0,0,0,0,1,1,88,1,passed,1170
2019,5259609,2,0,0,0,0,2,1,2934,1,passed,1683
2020,5263216,2,0,0,0,0,2,1,2935,1,passed,1099
2021,5271190,2,0,0,0,0,2,1,2936,1,passed,1321
2022,5272144,2,0,0,0,0,2,1,2937,1,passed,1321
2023,5275322,2,0,0,0,0,2,1,2938,1,passed,1280
2024,5276560,2,0,0,0,0,2,1,2939,1,passed,1208
2025,5281364,67,0,0,0,0,6,2,40,2,passed,1279
2026,5282562,9,0,0,0,0,2,1,63,1,passed,1714
2027,5287037,15,0,0,0,0,2,1,158,1,passed,1598
2028,5287451,581,0,0,0,0,8,7,461,7,passed,1602
2029,5291416,106,0,0,0,0,13,7,370,7,passed,1806
2030,5291556,10,0,0,0,0,1,2,21,2,passed,1479
2031,5292042,2,0,0,0,0,2,1,2940,1,passed,1393
2032,5292989,2,0,0,0,0,2,1,2941,1,passed,1447
2033,5295738,11,0,0,0,0,2,1,95,1,passed,1137
2034,5296550,15,0,0,0,0,3,1,112,1,passed,1131
2035,5296748,2,0,0,0,0,2,1,2942,1,passed,1138
2036,5297518,2,0,0,0,0,2,1,2943,1,passed,1103
2037,5302117,2,0,0,0,0,2,1,2944,1,passed,1359
2038,5304786,2,0,0,0,0,2,1,2945,1,passed,1223
2039,5307711,4,0,0,0,0,3,2,2966,2,passed,1204
2040,5307894,2,0,0,0,0,2,1,2947,1,passed,1172
2041,5313548,6,0,0,0,0,3,2,869,2,passed,1515
2042,5315059,2,0,0,0,0,2,1,2948,1,passed,1552
2043,5318822,2,0,0,0,0,2,1,2949,1,passed,1354
2044,5320313,2,0,0,0,0,2,1,2950,1,passed,1460
2045,5322773,2,0,0,0,0,2,1,2951,1,passed,1735
2046,5325690,2,0,0,0,0,2,1,2952,1,passed,1338
2047,5328374,2,0,0,0,0,2,1,2953,1,passed,1410
2048,5330947,2,0,0,0,0,2,1,2954,1,passed,1415
2049,5350392,2,0,0,0,0,2,1,2955,1,passed,1664
2050,5358223,2,0,0,0,0,2,1,2956,1,passed,1747
2051,5371525,2,0,0,0,0,2,1,2957,1,passed,1908
2052,5376180,2,0,0,0,0,2,1,2958,1,passed,1240
2053,5383088,2,0,0,0,0,2,1,2959,1,passed,1558
2054,5387383,2,0,0,0,0,2,1,2960,1,passed,1303
2055,5388631,0,0,0,0,0,1,1,76,1,passed,1360
2056,5388807,4,0,0,0,0,1,1,14,1,passed,1408
