,project,method,algorithm,batch_size,confidence,builds_reqd,wo_zero_median_delay,median_delays,total_delays,delay_list
20,heroku.csv,ssr,BATCHSTOP4,8,3,32.78688524590164,4.0,3.0,184,"[0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 8, 6, 5, 4, 3, 2, 1, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 9, 6]"
21,heroku.csv,ssr,BATCHSTOP4,8,4,26.229508196721312,4.0,2.0,170,"[0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 10, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 9, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 7, 6, 5, 4, 3]"
22,heroku.csv,ssr,BATCHSTOP4,8,5,34.42622950819672,4.0,2.0,164,"[0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 9, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 7, 6, 5, 4]"
23,heroku.csv,ssr,BATCHSTOP4,8,6,27.868852459016395,4.0,1.0,145,"[0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 12, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0]"
24,heroku.csv,ssr,BATCHSTOP4,8,7,40.98360655737705,4.0,2.0,155,"[0, 0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 9, 6]"
25,heroku.csv,ssr,BATCHSTOP4,8,8,16.39344262295082,4.0,0.0,116,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
26,heroku.csv,ssr,BATCHSTOP4,8,9,16.39344262295082,4.0,0.0,119,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0]"
27,heroku.csv,ssr,BATCHSTOP4,8,10,4.918032786885246,4.0,0.0,95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,heroku.csv,ssr,BATCHSTOP4,8,11,4.918032786885246,4.0,0.0,101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
29,heroku.csv,ssr,BATCHSTOP4,8,12,19.672131147540984,4.5,0.0,125,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 5, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 5, 4, 3, 2, 1, 0, 7, 6, 5]"
