version,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
3,vagrant.csv,ssr,BATCHBISECT,1,14.804469108581543,0.0,17,7
3,vagrant.csv,ssr,BATCHBISECT,2,8.379888534545898,24.0,20,16
3,vagrant.csv,ssr,BATCHBISECT,4,8.659217834472656,109.0,20,20
3,vagrant.csv,ssr,BATCHBISECT,8,7.54189920425415,420.0,32,20
3,vagrant.csv,ssr,BATCHBISECT,16,14.804469108581543,1485.0,21,20
4,heroku.csv,ssr,BATCHSTOP4,4,0,0,0,0
4,heroku.csv,ssr,BATCHSTOP4,8,0,0,0,0
4,heroku.csv,ssr,BATCHSTOP4,16,0,0,0,0
4,heroku.csv,ssr,BATCH4,4,0,0,0,0
4,heroku.csv,ssr,BATCHBISECT,1,0,0,0,0
4,heroku.csv,ssr,BATCHBISECT,2,0,0,0,0
4,heroku.csv,ssr,BATCHBISECT,4,0,0,0,0
4,heroku.csv,ssr,BATCHBISECT,8,0,0,0,0
4,heroku.csv,ssr,BATCHBISECT,16,0,0,0,0
4,cloudify.csv,ssr,BATCHSTOP4,4,9.661835670471191,144.0,27,20
4,cloudify.csv,ssr,BATCHSTOP4,8,5.7971014976501465,504.0,58,20
4,cloudify.csv,ssr,BATCHSTOP4,16,13.526570320129395,1735.0,31,18
4,cloudify.csv,ssr,BATCH4,4,9.661835670471191,144.0,27,20
4,cloudify.csv,ssr,BATCHBISECT,1,26.328502655029297,0.0,12,4
4,cloudify.csv,ssr,BATCHBISECT,2,13.526570320129395,50.0,27,8
4,cloudify.csv,ssr,BATCHBISECT,4,9.661835670471191,144.0,27,20
4,cloudify.csv,ssr,BATCHBISECT,8,5.7971014976501465,504.0,58,20
4,cloudify.csv,ssr,BATCHBISECT,16,13.526570320129395,1735.0,31,18
4,vagrant.csv,ssr,BATCHSTOP4,4,5.848787307739258,198.0,77,20
4,vagrant.csv,ssr,BATCHSTOP4,8,7.132667541503906,794.0,78,20
4,vagrant.csv,ssr,BATCHSTOP4,16,7.8459343910217285,2641.0,65,20
4,vagrant.csv,ssr,BATCH4,4,5.848787307739258,198.0,77,20
4,vagrant.csv,ssr,BATCHBISECT,1,20.399429321289062,0.0,18,5
4,vagrant.csv,ssr,BATCHBISECT,2,9.415121078491211,58.0,41,12
4,vagrant.csv,ssr,BATCHBISECT,4,5.848787307739258,198.0,77,20
4,vagrant.csv,ssr,BATCHBISECT,8,7.132667541503906,794.0,78,20
4,vagrant.csv,ssr,BATCHBISECT,16,7.8459343910217285,2641.0,65,20
5,heroku.csv,ssr,BATCHSTOP4,4,8.928571701049805,36.0,33,18
5,heroku.csv,ssr,BATCHSTOP4,8,3.5714285373687744,112.0,50,17
5,heroku.csv,ssr,BATCHSTOP4,16,23.214284896850586,480.0,29,19
5,heroku.csv,ssr,BATCH4,4,8.928571701049805,36.0,33,18
5,heroku.csv,ssr,BATCHBISECT,1,14.285714149475098,0.0,14,7
5,heroku.csv,ssr,BATCHBISECT,2,16.071428298950195,16.0,16,6
5,heroku.csv,ssr,BATCHBISECT,4,8.928571701049805,36.0,33,18
5,heroku.csv,ssr,BATCHBISECT,8,3.5714285373687744,112.0,50,17
5,heroku.csv,ssr,BATCHBISECT,16,23.214284896850586,480.0,29,19
5,cloudify.csv,ssr,BATCHSTOP4,4,12.676055908203125,120.0,66,14
5,cloudify.csv,ssr,BATCHSTOP4,8,17.957746505737305,420.0,66,18
5,cloudify.csv,ssr,BATCHSTOP4,16,31.690141677856445,1326.0,9,20
5,cloudify.csv,ssr,BATCH4,4,12.676055908203125,120.0,66,14
5,cloudify.csv,ssr,BATCHBISECT,1,17.253520965576172,0.0,33,6
5,cloudify.csv,ssr,BATCHBISECT,2,17.253520965576172,39.0,29,7
5,cloudify.csv,ssr,BATCHBISECT,4,12.676055908203125,120.0,66,14
5,cloudify.csv,ssr,BATCHBISECT,8,18.661972045898438,420.0,66,18
5,cloudify.csv,ssr,BATCHBISECT,16,32.39436721801758,1326.0,9,20
5,vagrant.csv,ssr,BATCHSTOP4,4,10.248756408691406,354.0,216,17
5,vagrant.csv,ssr,BATCHSTOP4,8,13.731343269348145,1347.0,174,20
5,vagrant.csv,ssr,BATCHSTOP4,16,17.711442947387695,4266.0,167,20
5,vagrant.csv,ssr,BATCH4,4,10.248756408691406,354.0,216,17
5,vagrant.csv,ssr,BATCHBISECT,1,50.945274353027344,0.0,28,2
5,vagrant.csv,ssr,BATCHBISECT,2,12.736318588256836,110.0,126,9
5,vagrant.csv,ssr,BATCHBISECT,4,10.248756408691406,354.0,216,17
5,vagrant.csv,ssr,BATCHBISECT,8,13.731343269348145,1347.0,174,20
5,vagrant.csv,ssr,BATCHBISECT,16,17.711442947387695,4266.0,167,20
6,heroku.csv,ssr,BATCHSTOP4,4,19.858156204223633,63.0,28,15
6,heroku.csv,ssr,BATCHSTOP4,8,4.255319118499756,168.0,63,15
6,heroku.csv,ssr,BATCHSTOP4,16,31.205673217773438,606.0,13,20
6,heroku.csv,ssr,BATCH4,4,19.858156204223633,63.0,28,15
6,heroku.csv,ssr,BATCHBISECT,1,15.602836608886719,0.0,25,7
6,heroku.csv,ssr,BATCHBISECT,2,19.858156204223633,22.0,18,6
6,heroku.csv,ssr,BATCHBISECT,4,16.312057495117188,54.0,38,16
6,heroku.csv,ssr,BATCHBISECT,8,4.255319118499756,168.0,63,15
6,heroku.csv,ssr,BATCHBISECT,16,34.04255294799805,606.0,13,20
6,cloudify.csv,ssr,BATCHSTOP4,4,5.841121673583984,126.0,50,18
6,cloudify.csv,ssr,BATCHSTOP4,8,7.476635456085205,482.0,71,19
6,cloudify.csv,ssr,BATCHSTOP4,16,17.056074142456055,1771.0,16,20
6,cloudify.csv,ssr,BATCH4,4,5.841121673583984,126.0,50,18
6,cloudify.csv,ssr,BATCHBISECT,1,25.467288970947266,0.0,10,4
6,cloudify.csv,ssr,BATCHBISECT,2,6.074766159057617,24.0,37,17
6,cloudify.csv,ssr,BATCHBISECT,4,5.841121673583984,126.0,50,18
6,cloudify.csv,ssr,BATCHBISECT,8,7.476635456085205,482.0,71,19
6,cloudify.csv,ssr,BATCHBISECT,16,17.056074142456055,1771.0,16,20
6,vagrant.csv,ssr,BATCHSTOP4,4,19.906322479248047,222.0,62,12
6,vagrant.csv,ssr,BATCHSTOP4,8,18.266979217529297,594.0,160,18
6,vagrant.csv,ssr,BATCHSTOP4,16,32.78688430786133,1956.0,41,19
6,vagrant.csv,ssr,BATCH4,4,19.906322479248047,222.0,62,12
6,vagrant.csv,ssr,BATCHBISECT,1,35.128807067871094,0.0,33,3
6,vagrant.csv,ssr,BATCHBISECT,2,24.590164184570312,79.0,44,5
6,vagrant.csv,ssr,BATCHBISECT,4,20.84309196472168,222.0,62,12
6,vagrant.csv,ssr,BATCHBISECT,8,18.266979217529297,594.0,160,18
6,vagrant.csv,ssr,BATCHBISECT,16,34.19203567504883,1956.0,41,19
7,heroku.csv,ssr,BATCHSTOP4,4,17.419355392456055,156.0,43,12
7,heroku.csv,ssr,BATCHSTOP4,8,11.612903594970703,392.0,123,18
7,heroku.csv,ssr,BATCHSTOP4,16,34.19355010986328,1545.0,25,20
7,heroku.csv,ssr,BATCH4,4,17.419355392456055,156.0,43,12
7,heroku.csv,ssr,BATCHBISECT,1,27.419355392456055,0.0,23,4
7,heroku.csv,ssr,BATCHBISECT,2,20.967741012573242,51.0,23,6
7,heroku.csv,ssr,BATCHBISECT,4,18.064516067504883,156.0,43,12
7,heroku.csv,ssr,BATCHBISECT,8,11.612903594970703,392.0,123,18
7,heroku.csv,ssr,BATCHBISECT,16,34.19355010986328,1545.0,25,20
7,cloudify.csv,ssr,BATCHSTOP4,4,7.445008277893066,192.0,27,20
7,cloudify.csv,ssr,BATCHSTOP4,8,7.445008277893066,728.0,20,19
7,cloudify.csv,ssr,BATCHSTOP4,16,9.475465774536133,2371.0,26,19
7,cloudify.csv,ssr,BATCH4,4,7.445008277893066,192.0,27,20
7,cloudify.csv,ssr,BATCHBISECT,1,17.258882522583008,0.0,26,6
7,cloudify.csv,ssr,BATCHBISECT,2,7.106598854064941,36.0,18,19
7,cloudify.csv,ssr,BATCHBISECT,4,7.445008277893066,192.0,27,20
7,cloudify.csv,ssr,BATCHBISECT,8,7.783417701721191,728.0,20,19
7,cloudify.csv,ssr,BATCHBISECT,16,9.813875198364258,2371.0,26,19
7,vagrant.csv,ssr,BATCHSTOP4,4,9.063444137573242,132.0,53,14
7,vagrant.csv,ssr,BATCHSTOP4,8,9.66767406463623,392.0,90,20
7,vagrant.csv,ssr,BATCHSTOP4,16,18.42900276184082,1560.0,57,18
7,vagrant.csv,ssr,BATCH4,4,9.063444137573242,132.0,53,14
7,vagrant.csv,ssr,BATCHBISECT,1,25.679758071899414,0.0,27,4
7,vagrant.csv,ssr,BATCHBISECT,2,17.522659301757812,50.0,30,6
7,vagrant.csv,ssr,BATCHBISECT,4,9.063444137573242,132.0,53,14
7,vagrant.csv,ssr,BATCHBISECT,8,9.66767406463623,392.0,90,20
7,vagrant.csv,ssr,BATCHBISECT,16,18.42900276184082,1560.0,57,18
8,heroku.csv,ssr,BATCHSTOP4,4,9.059233665466309,96.0,7,20
8,heroku.csv,ssr,BATCHSTOP4,8,8.710801124572754,364.0,11,18
8,heroku.csv,ssr,BATCHSTOP4,16,12.891985893249512,1158.0,18,20
8,heroku.csv,ssr,BATCH4,4,9.059233665466309,96.0,7,20
8,heroku.csv,ssr,BATCHBISECT,1,11.84669017791748,0.0,14,9
8,heroku.csv,ssr,BATCHBISECT,2,6.96864128112793,20.0,24,14
8,heroku.csv,ssr,BATCHBISECT,4,9.059233665466309,96.0,7,20
8,heroku.csv,ssr,BATCHBISECT,8,8.710801124572754,364.0,11,18
8,heroku.csv,ssr,BATCHBISECT,16,12.891985893249512,1158.0,18,20
8,cloudify.csv,ssr,BATCHSTOP4,4,4.75,114.0,23,18
8,cloudify.csv,ssr,BATCHSTOP4,8,5.25,420.0,46,20
8,cloudify.csv,ssr,BATCHSTOP4,16,6.5,1440.0,29,19
8,cloudify.csv,ssr,BATCH4,4,4.75,114.0,23,18
8,cloudify.csv,ssr,BATCHBISECT,1,5.0,0.0,15,20
8,cloudify.csv,ssr,BATCHBISECT,2,5.75,21.0,12,19
8,cloudify.csv,ssr,BATCHBISECT,4,4.75,114.0,23,18
8,cloudify.csv,ssr,BATCHBISECT,8,5.25,420.0,46,20
8,cloudify.csv,ssr,BATCHBISECT,16,6.5,1440.0,29,19
8,vagrant.csv,ssr,BATCHSTOP4,4,6.0,102.0,16,19
8,vagrant.csv,ssr,BATCHSTOP4,8,3.7142856121063232,364.0,23,20
8,vagrant.csv,ssr,BATCHSTOP4,16,8.285714149475098,1266.0,30,19
8,vagrant.csv,ssr,BATCH4,4,6.0,102.0,16,19
8,vagrant.csv,ssr,BATCHBISECT,1,9.428571701049805,0.0,14,11
8,vagrant.csv,ssr,BATCHBISECT,2,8.0,24.0,8,15
8,vagrant.csv,ssr,BATCHBISECT,4,6.0,102.0,16,19
8,vagrant.csv,ssr,BATCHBISECT,8,3.7142856121063232,364.0,23,20
8,vagrant.csv,ssr,BATCHBISECT,16,8.285714149475098,1266.0,30,19
9,heroku.csv,ssr,BATCHSTOP4,4,11.616161346435547,66.0,0,19
9,heroku.csv,ssr,BATCHSTOP4,8,3.535353422164917,196.0,8,19
9,heroku.csv,ssr,BATCHSTOP4,16,7.5757575035095215,721.0,27,18
9,heroku.csv,ssr,BATCH4,4,11.616161346435547,66.0,0,19
9,heroku.csv,ssr,BATCHBISECT,1,7.5757575035095215,0.0,8,13
9,heroku.csv,ssr,BATCHBISECT,2,7.5757575035095215,15.0,8,12
9,heroku.csv,ssr,BATCHBISECT,4,11.616161346435547,66.0,0,19
9,heroku.csv,ssr,BATCHBISECT,8,3.535353422164917,196.0,8,19
9,heroku.csv,ssr,BATCHBISECT,16,7.5757575035095215,721.0,27,18
9,cloudify.csv,ssr,BATCHSTOP4,4,4.312668323516846,96.0,19,20
9,cloudify.csv,ssr,BATCHSTOP4,8,3.7735848426818848,392.0,23,19
9,cloudify.csv,ssr,BATCHSTOP4,16,5.121294021606445,1320.0,12,20
9,cloudify.csv,ssr,BATCH4,4,4.312668323516846,96.0,19,20
9,cloudify.csv,ssr,BATCHBISECT,1,6.469002723693848,0.0,12,16
9,cloudify.csv,ssr,BATCHBISECT,2,5.121294021606445,19.0,17,18
9,cloudify.csv,ssr,BATCHBISECT,4,4.312668323516846,96.0,19,20
9,cloudify.csv,ssr,BATCHBISECT,8,3.7735848426818848,392.0,23,19
9,cloudify.csv,ssr,BATCHBISECT,16,5.121294021606445,1320.0,12,20
9,vagrant.csv,ssr,BATCHSTOP4,4,7.009346008300781,132.0,73,18
9,vagrant.csv,ssr,BATCHSTOP4,8,7.476635456085205,482.0,101,19
9,vagrant.csv,ssr,BATCHSTOP4,16,10.280373573303223,1680.0,48,20
9,vagrant.csv,ssr,BATCH4,4,7.009346008300781,132.0,73,18
9,vagrant.csv,ssr,BATCHBISECT,1,25.70093536376953,0.0,16,4
9,vagrant.csv,ssr,BATCHBISECT,2,9.579439163208008,37.0,49,11
9,vagrant.csv,ssr,BATCHBISECT,4,7.009346008300781,132.0,73,18
9,vagrant.csv,ssr,BATCHBISECT,8,7.476635456085205,482.0,101,19
9,vagrant.csv,ssr,BATCHBISECT,16,10.280373573303223,1680.0,48,20
10,heroku.csv,ssr,BATCHSTOP4,4,3.278688430786133,12.0,25,20
10,heroku.csv,ssr,BATCHSTOP4,8,3.278688430786133,56.0,29,20
10,heroku.csv,ssr,BATCHSTOP4,16,11.475409507751465,141.0,37,20
10,heroku.csv,ssr,BATCH4,4,3.278688430786133,12.0,25,20
10,heroku.csv,ssr,BATCHBISECT,1,14.754097938537598,0.0,7,7
10,heroku.csv,ssr,BATCHBISECT,2,8.196721076965332,5.0,16,10
10,heroku.csv,ssr,BATCHBISECT,4,3.278688430786133,12.0,25,20
10,heroku.csv,ssr,BATCHBISECT,8,3.278688430786133,56.0,29,20
10,heroku.csv,ssr,BATCHBISECT,16,11.475409507751465,141.0,37,20
10,cloudify.csv,ssr,BATCHSTOP4,4,4.2682929039001465,42.0,0,18
10,cloudify.csv,ssr,BATCHSTOP4,8,3.658536672592163,168.0,0,18
10,cloudify.csv,ssr,BATCHSTOP4,16,4.878048896789551,490.0,0,20
10,cloudify.csv,ssr,BATCH4,4,4.2682929039001465,42.0,0,18
10,cloudify.csv,ssr,BATCHBISECT,1,4.878048896789551,0.0,0,19
10,cloudify.csv,ssr,BATCHBISECT,2,4.2682929039001465,7.0,0,20
10,cloudify.csv,ssr,BATCHBISECT,4,4.2682929039001465,42.0,0,18
10,cloudify.csv,ssr,BATCHBISECT,8,3.658536672592163,168.0,0,18
10,cloudify.csv,ssr,BATCHBISECT,16,4.878048896789551,490.0,0,20
10,vagrant.csv,ssr,BATCHSTOP4,4,9.747292518615723,90.0,2,20
10,vagrant.csv,ssr,BATCHSTOP4,8,6.137184143066406,308.0,20,20
10,vagrant.csv,ssr,BATCHSTOP4,16,9.386281967163086,1081.0,15,18
10,vagrant.csv,ssr,BATCH4,4,9.747292518615723,90.0,2,20
10,vagrant.csv,ssr,BATCHBISECT,1,7.5812273025512695,0.0,9,16
10,vagrant.csv,ssr,BATCHBISECT,2,7.9422383308410645,20.0,8,15
10,vagrant.csv,ssr,BATCHBISECT,4,9.747292518615723,90.0,2,20
10,vagrant.csv,ssr,BATCHBISECT,8,6.137184143066406,308.0,20,20
10,vagrant.csv,ssr,BATCHBISECT,16,9.386281967163086,1081.0,15,18
