project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
vagrant,BATCHBISECT,8,2,27.816901408450704,0.352112676056338,12768,9.507042253521126,[2],284,897.0
vagrant,BATCHBISECT,8,3,26.760563380281692,0.704225352112676,11723,16.549295774647888,"[2, 3]",284,827.0
vagrant,BATCHBISECT,8,4,25.704225352112676,0.704225352112676,12023,22.535211267605632,"[3, 2]",284,766.0
vagrant,BATCHBISECT,8,5,17.253521126760564,1.7605633802816902,7933,31.338028169014084,"[5, 4, 3, 2, 3]",284,678.0
vagrant,BATCHBISECT,8,6,21.12676056338028,1.056338028169014,10280,32.394366197183096,"[5, 4, 3]",284,672.0
vagrant,BATCHBISECT,8,7,18.309859154929576,1.7605633802816902,7830,38.38028169014085,"[2, 7, 2, 5, 12]",284,616.0
vagrant,BATCHBISECT,8,8,12.67605633802817,2.464788732394366,5045,44.71830985915493,"[5, 2, 5, 3, 2, 6, 12]",284,547.0
vagrant,BATCHBISECT,8,9,7.042253521126761,3.1690140845070425,3240,51.056338028169016,"[9, 8, 3, 2, 8, 2, 2, 7, 12]",284,482.0
vagrant,BATCHBISECT,8,10,11.267605633802816,2.464788732394366,5060,51.056338028169016,"[6, 3, 4, 10, 8, 9, 12]",284,482.0
vagrant,BATCHBISECT,8,11,20.774647887323944,0.704225352112676,10166,46.478873239436616,"[10, 9]",284,532.0
vagrant,BATCHBISECT,8,12,12.32394366197183,2.112676056338028,6096,54.57746478873239,"[2, 10, 11, 3, 9, 12]",284,449.0
vagrant,BATCHBISECT,8,13,15.492957746478874,1.408450704225352,7263,54.929577464788736,"[5, 7, 10, 12]",284,448.0
vagrant,BATCHBISECT,8,14,9.859154929577464,2.464788732394366,3822,59.859154929577464,"[8, 14, 2, 8, 3, 14, 12]",284,395.0
vagrant,BATCHBISECT,8,15,6.690140845070423,2.816901408450704,2930,63.38028169014085,"[11, 6, 13, 2, 8, 4, 10, 12]",284,364.0
vagrant,BATCHBISECT,8,16,10.211267605633802,2.112676056338028,4722,63.38028169014085,"[14, 11, 8, 4, 15, 12]",284,364.0
vagrant,BATCHBISECT,8,17,13.380281690140846,1.7605633802816902,5939,62.32394366197183,"[17, 16, 3, 10, 15]",284,370.0
vagrant,BATCHBISECT,8,18,13.380281690140846,1.7605633802816902,5996,60.563380281690144,"[4, 17, 9, 15, 12]",284,392.0
vagrant,BATCHBISECT,8,19,17.95774647887324,1.056338028169014,8226,57.74647887323944,"[8, 4, 12]",284,420.0
vagrant,BATCHBISECT,8,20,10.56338028169014,2.112676056338028,5074,66.19718309859155,"[12, 2, 2, 2, 13, 12]",284,336.0
vagrant,BATCHBISECT,16,2,27.112676056338028,0.352112676056338,13320,4.225352112676056,[2],284,2040.0
vagrant,BATCHBISECT,16,3,32.04225352112676,0.0,14656,7.394366197183099,[],284,1948.0
vagrant,BATCHBISECT,16,4,32.04225352112676,0.0,15129,8.80281690140845,[],284,1926.0
vagrant,BATCHBISECT,16,5,25.35211267605634,0.704225352112676,12203,14.43661971830986,"[4, 2]",284,1806.0
vagrant,BATCHBISECT,16,6,30.985915492957748,0.0,15126,14.43661971830986,[],284,1806.0
vagrant,BATCHBISECT,16,7,28.52112676056338,0.352112676056338,12054,17.253521126760564,[3],284,1746.0
vagrant,BATCHBISECT,16,8,24.295774647887324,0.704225352112676,10281,22.535211267605632,"[6, 3]",284,1638.0
vagrant,BATCHBISECT,16,9,19.718309859154928,1.408450704225352,9163,25.704225352112676,"[9, 8, 2, 8]",284,1566.0
vagrant,BATCHBISECT,16,10,22.535211267605632,1.056338028169014,9992,25.704225352112676,"[4, 6, 2]",284,1566.0
vagrant,BATCHBISECT,16,11,28.169014084507044,0.352112676056338,12866,25.0,[8],284,1575.0
vagrant,BATCHBISECT,16,12,19.366197183098592,1.408450704225352,9098,31.338028169014084,"[12, 2, 2, 2]",284,1446.0
vagrant,BATCHBISECT,16,13,25.704225352112676,0.704225352112676,11570,29.929577464788732,"[6, 12]",284,1468.0
vagrant,BATCHBISECT,16,14,28.52112676056338,0.352112676056338,11491,27.816901408450704,[8],284,1531.0
vagrant,BATCHBISECT,16,15,23.239436619718308,1.056338028169014,9955,34.859154929577464,"[3, 6, 12]",284,1365.0
vagrant,BATCHBISECT,16,16,18.661971830985916,1.408450704225352,8855,37.32394366197183,"[7, 5, 11, 3]",284,1323.0
vagrant,BATCHBISECT,16,17,18.661971830985916,1.408450704225352,7578,39.7887323943662,"[11, 10, 16, 10]",284,1266.0
vagrant,BATCHBISECT,16,18,24.64788732394366,0.704225352112676,11438,36.267605633802816,"[3, 16]",284,1335.0
vagrant,BATCHBISECT,16,19,16.197183098591548,1.7605633802816902,6029,44.71830985915493,"[5, 3, 4, 10, 8]",284,1171.0
vagrant,BATCHBISECT,16,20,15.845070422535212,1.7605633802816902,7190,47.183098591549296,"[7, 7, 9, 15, 15]",284,1101.0
vagrant,BATCH4,4,2,31.690140845070424,0.352112676056338,13976,18.309859154929576,[2],284,348.0
vagrant,BATCH4,4,3,22.887323943661972,1.7605633802816902,10162,32.04225352112676,"[3, 2, 2, 2, 3]",284,289.0
vagrant,BATCH4,4,4,22.183098591549296,1.408450704225352,9667,40.49295774647887,"[2, 3, 2, 4]",284,253.0
vagrant,BATCH4,4,5,18.661971830985916,1.7605633802816902,8360,47.88732394366197,"[5, 4, 2, 2, 5]",284,222.0
