project,method,algorithm,batch_size,builds_reqd,total_delay
geoserver.csv,ml,NOBATCH,8,12.5,1
geoserver.csv,ml,NOBATCH,16,6.547619047619050,0
geoserver.csv,ml,NOBATCH,32,3.571428571428570,0
geoserver.csv,ml,BATCH4,4,92.85714285714290,7
geoserver.csv,ml,BATCHSTOP4,4,92.85714285714290,7
geoserver.csv,ml,BATCHSTOP4,8,111.3095238095240,0
geoserver.csv,ml,BATCHSTOP4,16,117.26190476190500,0
geoserver.csv,ml,BATCHSTOP4,32,120.23809523809500,0
geoserver.csv,ml,BATCHBISECT,1,70.83333333333330,25
geoserver.csv,ml,BATCHBISECT,2,88.0952380952381,8
geoserver.csv,ml,BATCHBISECT,4,103.57142857142900,7
geoserver.csv,ml,BATCHBISECT,8,122.02380952381000,0
geoserver.csv,ml,BATCHBISECT,16,127.97619047619000,0
geoserver.csv,ml,BATCHBISECT,32,130.95238095238100,0
gradle.csv,ml,NOBATCH,1,45.601436265709200,11
gradle.csv,ml,NOBATCH,2,29.982046678635500,7
gradle.csv,ml,NOBATCH,4,18.850987432675000,25
gradle.csv,ml,NOBATCH,8,10.95152603231600,5
gradle.csv,ml,NOBATCH,16,5.9245960502693,3
gradle.csv,ml,NOBATCH,32,3.2315978456014400,0
gradle.csv,ml,BATCH4,4,28.186714542190300,25
gradle.csv,ml,BATCHSTOP4,4,28.186714542190300,25
gradle.csv,ml,BATCHSTOP4,8,29.443447037702000,5
gradle.csv,ml,BATCHSTOP4,16,31.95691202872530,0
gradle.csv,ml,BATCHSTOP4,32,34.1113105924596,0
gradle.csv,ml,BATCHBISECT,1,41.292639138240600,24
gradle.csv,ml,BATCHBISECT,2,33.39317773788150,20
gradle.csv,ml,BATCHBISECT,4,28.186714542190300,25
gradle.csv,ml,BATCHBISECT,8,29.802513464991000,5
gradle.csv,ml,BATCHBISECT,16,32.31597845601440,0
gradle.csv,ml,BATCHBISECT,32,34.1113105924596,0
graylog2-server.csv,ml,NOBATCH,1,72.06982543640900,0
graylog2-server.csv,ml,NOBATCH,2,41.39650872817960,0
graylog2-server.csv,ml,NOBATCH,4,22.9426433915212,1
graylog2-server.csv,ml,NOBATCH,8,11.970074812967600,0
graylog2-server.csv,ml,NOBATCH,16,6.234413965087280,0
graylog2-server.csv,ml,NOBATCH,32,3.2418952618453900,0
graylog2-server.csv,ml,BATCH4,4,28.92768079800500,1
graylog2-server.csv,ml,BATCHSTOP4,4,28.92768079800500,1
graylog2-server.csv,ml,BATCHSTOP4,8,22.443890274314200,0
graylog2-server.csv,ml,BATCHSTOP4,16,20.199501246882800,0
graylog2-server.csv,ml,BATCHSTOP4,32,20.69825436408980,0
graylog2-server.csv,ml,BATCHBISECT,1,70.07481296758110,3
graylog2-server.csv,ml,BATCHBISECT,2,43.39152119700750,3
graylog2-server.csv,ml,BATCHBISECT,4,28.92768079800500,1
graylog2-server.csv,ml,BATCHBISECT,8,22.443890274314200,0
graylog2-server.csv,ml,BATCHBISECT,16,20.199501246882800,0
graylog2-server.csv,ml,BATCHBISECT,32,20.69825436408980,0
jruby.csv,ml,NOBATCH,1,82.80871670702180,3
jruby.csv,ml,NOBATCH,2,44.79418886198550,4
jruby.csv,ml,NOBATCH,4,23.728813559322000,3
jruby.csv,ml,NOBATCH,8,12.106537530266300,2
jruby.csv,ml,NOBATCH,16,6.295399515738500,2
jruby.csv,ml,NOBATCH,32,3.1476997578692500,2
jruby.csv,ml,BATCH4,4,77.96610169491530,3
jruby.csv,ml,BATCHSTOP4,4,77.96610169491530,3
jruby.csv,ml,BATCHSTOP4,8,89.83050847457630,0
jruby.csv,ml,BATCHSTOP4,16,94.91525423728810,0
jruby.csv,ml,BATCHSTOP4,32,97.57869249394670,0
jruby.csv,ml,BATCHBISECT,1,71.67070217917680,33
jruby.csv,ml,BATCHBISECT,2,71.42857142857140,18
jruby.csv,ml,BATCHBISECT,4,84.26150121065380,3
jruby.csv,ml,BATCHBISECT,8,96.12590799031480,0
jruby.csv,ml,BATCHBISECT,16,101.21065375302700,0
jruby.csv,ml,BATCHBISECT,32,103.38983050847500,0
loomio.csv,ml,NOBATCH,1,77.5609756097561,0
loomio.csv,ml,NOBATCH,2,44.39024390243900,0
loomio.csv,ml,NOBATCH,4,22.92682926829270,0
loomio.csv,ml,NOBATCH,8,12.195121951219500,0
loomio.csv,ml,NOBATCH,16,6.341463414634150,0
loomio.csv,ml,NOBATCH,32,3.414634146341460,0
loomio.csv,ml,BATCH4,4,60.0,0
loomio.csv,ml,BATCHSTOP4,4,60.0,0
loomio.csv,ml,BATCHSTOP4,8,64.8780487804878,0
loomio.csv,ml,BATCHSTOP4,16,67.8048780487805,0
loomio.csv,ml,BATCHSTOP4,32,69.7560975609756,0
loomio.csv,ml,BATCHBISECT,1,67.3170731707317,14
loomio.csv,ml,BATCHBISECT,2,65.85365853658540,3
loomio.csv,ml,BATCHBISECT,4,65.85365853658540,0
loomio.csv,ml,BATCHBISECT,8,70.73170731707320,0
loomio.csv,ml,BATCHBISECT,16,73.65853658536590,0
loomio.csv,ml,BATCHBISECT,32,75.60975609756100,0
opal.csv,ml,NOBATCH,1,63.392857142857100,0
opal.csv,ml,NOBATCH,2,38.392857142857100,0
opal.csv,ml,NOBATCH,4,20.982142857142900,6
opal.csv,ml,NOBATCH,8,11.607142857142900,7
opal.csv,ml,NOBATCH,16,6.25,0
opal.csv,ml,NOBATCH,32,3.125,0
opal.csv,ml,BATCH4,4,33.482142857142900,6
opal.csv,ml,BATCHSTOP4,4,33.482142857142900,6
opal.csv,ml,BATCHSTOP4,8,27.678571428571400,7
opal.csv,ml,BATCHSTOP4,16,33.035714285714300,2
opal.csv,ml,BATCHSTOP4,32,37.94642857142860,0
opal.csv,ml,BATCHBISECT,1,60.71428571428570,4
opal.csv,ml,BATCHBISECT,2,43.75,3
opal.csv,ml,BATCHBISECT,4,33.482142857142900,6
opal.csv,ml,BATCHBISECT,8,28.571428571428600,7
opal.csv,ml,BATCHBISECT,16,33.035714285714300,2
opal.csv,ml,BATCHBISECT,32,37.94642857142860,0
open-build-service.csv,ml,NOBATCH,1,74.67811158798280,0
open-build-service.csv,ml,NOBATCH,2,42.27467811158800,0
open-build-service.csv,ml,NOBATCH,4,22.746781115879800,4
open-build-service.csv,ml,NOBATCH,8,12.017167381974200,0
open-build-service.csv,ml,NOBATCH,16,6.223175965665240,2
open-build-service.csv,ml,NOBATCH,32,3.218884120171670,0
open-build-service.csv,ml,BATCH4,4,57.93991416309010,4
open-build-service.csv,ml,BATCHSTOP4,4,57.93991416309010,4
open-build-service.csv,ml,BATCHSTOP4,8,65.02145922746780,1
open-build-service.csv,ml,BATCHSTOP4,16,68.88412017167380,0
open-build-service.csv,ml,BATCHSTOP4,32,72.74678111587980,0
open-build-service.csv,ml,BATCHBISECT,1,66.7381974248927,23
open-build-service.csv,ml,BATCHBISECT,2,57.72532188841200,11
open-build-service.csv,ml,BATCHBISECT,4,59.65665236051500,4
open-build-service.csv,ml,BATCHBISECT,8,65.87982832618030,1
open-build-service.csv,ml,BATCHBISECT,16,70.60085836909870,0
open-build-service.csv,ml,BATCHBISECT,32,73.60515021459230,0
orbeon-forms.csv,ml,NOBATCH,1,71.67381974248930,0
orbeon-forms.csv,ml,NOBATCH,2,41.63090128755370,0
orbeon-forms.csv,ml,NOBATCH,4,23.605150214592300,0
orbeon-forms.csv,ml,NOBATCH,8,12.017167381974200,0
orbeon-forms.csv,ml,NOBATCH,16,6.008583690987120,0
orbeon-forms.csv,ml,NOBATCH,32,3.433476394849790,0
orbeon-forms.csv,ml,BATCH4,4,56.223175965665200,0
orbeon-forms.csv,ml,BATCHSTOP4,4,56.223175965665200,0
orbeon-forms.csv,ml,BATCHSTOP4,8,55.36480686695280,0
orbeon-forms.csv,ml,BATCHSTOP4,16,61.37339055793990,0
orbeon-forms.csv,ml,BATCHSTOP4,32,62.66094420600860,0
orbeon-forms.csv,ml,BATCHBISECT,1,68.24034334763950,2
orbeon-forms.csv,ml,BATCHBISECT,2,58.36909871244640,0
orbeon-forms.csv,ml,BATCHBISECT,4,57.081545064377700,0
orbeon-forms.csv,ml,BATCHBISECT,8,57.93991416309010,0
orbeon-forms.csv,ml,BATCHBISECT,16,63.09012875536480,0
orbeon-forms.csv,ml,BATCHBISECT,32,65.23605150214590,0
puppet.csv,ml,NOBATCH,1,92.7536231884058,0
puppet.csv,ml,NOBATCH,2,49.27536231884060,0
puppet.csv,ml,NOBATCH,4,24.63768115942030,0
puppet.csv,ml,NOBATCH,8,13.043478260869600,0
puppet.csv,ml,NOBATCH,16,7.246376811594200,0
puppet.csv,ml,NOBATCH,32,4.3478260869565200,0
puppet.csv,ml,BATCH4,4,36.231884057971000,0
puppet.csv,ml,BATCHSTOP4,4,36.231884057971000,0
puppet.csv,ml,BATCHSTOP4,8,30.43478260869570,0
puppet.csv,ml,BATCHSTOP4,16,30.43478260869570,0
puppet.csv,ml,BATCHSTOP4,32,33.333333333333300,0
puppet.csv,ml,BATCHBISECT,1,92.7536231884058,0
puppet.csv,ml,BATCHBISECT,2,55.072463768115900,0
puppet.csv,ml,BATCHBISECT,4,36.231884057971000,0
puppet.csv,ml,BATCHBISECT,8,30.43478260869570,0
puppet.csv,ml,BATCHBISECT,16,30.43478260869570,0
puppet.csv,ml,BATCHBISECT,32,33.333333333333300,0
rails.csv,ml,NOBATCH,1,78.33446174678400,4
rails.csv,ml,NOBATCH,2,43.19566689234940,5
rails.csv,ml,NOBATCH,4,22.88422477995940,15
rails.csv,ml,NOBATCH,8,12.119160460392700,12
rails.csv,ml,NOBATCH,16,6.161137440758290,4
rails.csv,ml,NOBATCH,32,3.1144211238998000,0
rails.csv,ml,BATCH4,4,56.73662830060940,15
rails.csv,ml,BATCHSTOP4,4,56.73662830060940,15
rails.csv,ml,BATCHSTOP4,8,60.93432633716990,13
rails.csv,ml,BATCHSTOP4,16,67.29857819905210,2
rails.csv,ml,BATCHSTOP4,32,69.19431279620850,8
rails.csv,ml,BATCHBISECT,1,70.48070412999320,69
rails.csv,ml,BATCHBISECT,2,58.22613405551790,44
rails.csv,ml,BATCHBISECT,4,58.90318212593090,15
rails.csv,ml,BATCHBISECT,8,63.23628977657410,13
rails.csv,ml,BATCHBISECT,16,69.32972241029110,2
rails.csv,ml,BATCHBISECT,32,71.36086662153010,8
rubinius.csv,ml,NOBATCH,1,91.36363636363640,0
rubinius.csv,ml,NOBATCH,2,47.27272727272730,0
rubinius.csv,ml,NOBATCH,4,24.09090909090910,2
rubinius.csv,ml,NOBATCH,8,12.272727272727300,0
rubinius.csv,ml,NOBATCH,16,6.363636363636360,0
rubinius.csv,ml,NOBATCH,32,3.1818181818181800,0
rubinius.csv,ml,BATCH4,4,69.54545454545460,2
rubinius.csv,ml,BATCHSTOP4,4,69.54545454545460,2
rubinius.csv,ml,BATCHSTOP4,8,80.45454545454550,0
rubinius.csv,ml,BATCHSTOP4,16,87.27272727272730,0
rubinius.csv,ml,BATCHSTOP4,32,91.36363636363640,0
rubinius.csv,ml,BATCHBISECT,1,85.45454545454550,5
rubinius.csv,ml,BATCHBISECT,2,77.27272727272730,3
rubinius.csv,ml,BATCHBISECT,4,77.72727272727270,2
rubinius.csv,ml,BATCHBISECT,8,86.81818181818180,0
rubinius.csv,ml,BATCHBISECT,16,92.72727272727270,0
rubinius.csv,ml,BATCHBISECT,32,96.8181818181818,0
sonarqube.csv,ml,NOBATCH,1,79.0,2
sonarqube.csv,ml,NOBATCH,2,46.0,0
sonarqube.csv,ml,NOBATCH,4,23.0,7
sonarqube.csv,ml,NOBATCH,8,12.0,1
sonarqube.csv,ml,NOBATCH,16,6.333333333333330,0
sonarqube.csv,ml,NOBATCH,32,3.333333333333330,0
sonarqube.csv,ml,BATCH4,4,48.333333333333300,7
sonarqube.csv,ml,BATCHSTOP4,4,48.333333333333300,7
sonarqube.csv,ml,BATCHSTOP4,8,50.66666666666670,1
sonarqube.csv,ml,BATCHSTOP4,16,57.0,0
sonarqube.csv,ml,BATCHSTOP4,32,60.0,0
sonarqube.csv,ml,BATCHBISECT,1,75.33333333333330,12
sonarqube.csv,ml,BATCHBISECT,2,58.333333333333300,7
sonarqube.csv,ml,BATCHBISECT,4,49.0,7
sonarqube.csv,ml,BATCHBISECT,8,51.333333333333300,1
sonarqube.csv,ml,BATCHBISECT,16,57.0,0
sonarqube.csv,ml,BATCHBISECT,32,59.333333333333300,0
sufia.csv,ml,NOBATCH,1,84.21052631578950,0
sufia.csv,ml,NOBATCH,2,42.10526315789470,0
sufia.csv,ml,NOBATCH,4,26.31578947368420,0
sufia.csv,ml,NOBATCH,8,15.789473684210500,0
sufia.csv,ml,NOBATCH,16,10.526315789473700,0
sufia.csv,ml,NOBATCH,32,5.2631578947368400,0
sufia.csv,ml,BATCH4,4,47.36842105263160,0
sufia.csv,ml,BATCHSTOP4,4,47.36842105263160,0
sufia.csv,ml,BATCHSTOP4,8,47.36842105263160,0
sufia.csv,ml,BATCHSTOP4,16,52.63157894736840,0
sufia.csv,ml,BATCHSTOP4,32,57.89473684210530,0
sufia.csv,ml,BATCHBISECT,1,78.94736842105260,0
sufia.csv,ml,BATCHBISECT,2,52.63157894736840,0
sufia.csv,ml,BATCHBISECT,4,47.36842105263160,0
sufia.csv,ml,BATCHBISECT,8,47.36842105263160,0
sufia.csv,ml,BATCHBISECT,16,52.63157894736840,0
sufia.csv,ml,BATCHBISECT,32,47.36842105263160,0
vagrant.csv,ml,NOBATCH,1,70.4225352112676,0
vagrant.csv,ml,NOBATCH,2,38.732394366197200,0
vagrant.csv,ml,NOBATCH,4,22.183098591549300,2
vagrant.csv,ml,NOBATCH,8,11.971830985915500,2
vagrant.csv,ml,NOBATCH,16,6.338028169014090,0
vagrant.csv,ml,NOBATCH,32,3.1690140845070400,0
vagrant.csv,ml,BATCH4,4,33.45070422535210,2
vagrant.csv,ml,BATCHSTOP4,4,33.45070422535210,2
vagrant.csv,ml,BATCHSTOP4,8,28.87323943661970,2
vagrant.csv,ml,BATCHSTOP4,16,30.985915492957700,0
vagrant.csv,ml,BATCHSTOP4,32,28.52112676056340,2
vagrant.csv,ml,BATCHBISECT,1,66.54929577464790,2
vagrant.csv,ml,BATCHBISECT,2,43.66197183098590,2
vagrant.csv,ml,BATCHBISECT,4,33.45070422535210,2
vagrant.csv,ml,BATCHBISECT,8,28.87323943661970,2
vagrant.csv,ml,BATCHBISECT,16,30.985915492957700,0
vagrant.csv,ml,BATCHBISECT,32,27.816901408450700,2
metasploit-framework.csv,ml,NOBATCH,1,79.89623865110250,0
metasploit-framework.csv,ml,NOBATCH,2,44.3579766536965,0
metasploit-framework.csv,ml,NOBATCH,4,23.60570687418940,0
metasploit-framework.csv,ml,NOBATCH,8,12.06225680933850,0
metasploit-framework.csv,ml,NOBATCH,16,6.22568093385214,0
metasploit-framework.csv,ml,NOBATCH,32,3.11284046692607,0
metasploit-framework.csv,ml,BATCH4,4,35.53826199740600,0
metasploit-framework.csv,ml,BATCHSTOP4,4,35.53826199740600,0
metasploit-framework.csv,ml,BATCHSTOP4,8,30.220492866407300,0
metasploit-framework.csv,ml,BATCHSTOP4,16,28.53437094682230,0
metasploit-framework.csv,ml,BATCHSTOP4,32,29.053177691310000,0
metasploit-framework.csv,ml,BATCHBISECT,1,79.24773022049290,1
metasploit-framework.csv,ml,BATCHBISECT,2,50.58365758754860,0
metasploit-framework.csv,ml,BATCHBISECT,4,35.797665369649800,0
metasploit-framework.csv,ml,BATCHBISECT,8,30.220492866407300,0
metasploit-framework.csv,ml,BATCHBISECT,16,28.53437094682230,0
metasploit-framework.csv,ml,BATCHBISECT,32,29.053177691310000,0
vagrant.csv,ssr,NOBATCH,1,5.2816901206970200,49
vagrant.csv,ssr,NOBATCH,2,4.929577350616460,32
vagrant.csv,ssr,NOBATCH,4,4.577464580535890,41
vagrant.csv,ssr,NOBATCH,8,3.873239517211910,27
vagrant.csv,ssr,NOBATCH,16,3.1690139770507800,23
vagrant.csv,ssr,NOBATCH,32,2.1126761436462400,9
vagrant.csv,ssr,BATCHSTOP4,4,21.478872299194300,41
vagrant.csv,ssr,BATCHSTOP4,8,14.436619758606000,27
vagrant.csv,ssr,BATCHSTOP4,16,27.81690216064450,23
vagrant.csv,ssr,BATCHSTOP4,32,31.690141677856400,12
vagrant.csv,ssr,BATCHBISECT,1,5.2816901206970200,49
vagrant.csv,ssr,BATCHBISECT,2,6.3380279541015600,32
vagrant.csv,ssr,BATCHBISECT,4,7.394366264343260,41
vagrant.csv,ssr,BATCHBISECT,8,10.211267471313500,27
vagrant.csv,ssr,BATCHBISECT,16,19.36619758605960,23
vagrant.csv,ssr,BATCHBISECT,32,19.014083862304700,9
vagrant.csv,ssr,BATCH4,4,7.394366264343260,41
orbeon-forms.csv,ssr,NOBATCH,1,6.0085835456848100,78
orbeon-forms.csv,ssr,NOBATCH,2,5.579399108886720,71
orbeon-forms.csv,ssr,NOBATCH,4,5.579399108886720,69
orbeon-forms.csv,ssr,NOBATCH,8,4.721030235290530,86
orbeon-forms.csv,ssr,NOBATCH,16,3.433476448059080,49
orbeon-forms.csv,ssr,NOBATCH,32,2.1459226608276400,13
orbeon-forms.csv,ssr,BATCHSTOP4,4,21.03004264831540,69
orbeon-forms.csv,ssr,BATCHSTOP4,8,17.596567153930700,86
orbeon-forms.csv,ssr,BATCHSTOP4,16,42.06008529663090,49
orbeon-forms.csv,ssr,BATCHSTOP4,32,72.53218841552730,6
orbeon-forms.csv,ssr,BATCHBISECT,1,6.0085835456848100,78
orbeon-forms.csv,ssr,BATCHBISECT,2,9.0128755569458,71
orbeon-forms.csv,ssr,BATCHBISECT,4,14.163089752197300,69
orbeon-forms.csv,ssr,BATCHBISECT,8,13.304720878601100,86
orbeon-forms.csv,ssr,BATCHBISECT,16,30.042919158935500,49
orbeon-forms.csv,ssr,BATCHBISECT,32,45.06437683105470,13
orbeon-forms.csv,ssr,BATCH4,4,14.163089752197300,69
cloudify.csv,ssr,NOBATCH,1,5.327868938446050,86
cloudify.csv,ssr,NOBATCH,2,5.122951030731200,73
cloudify.csv,ssr,NOBATCH,4,4.918032646179200,81
cloudify.csv,ssr,NOBATCH,8,3.8934426307678200,76
cloudify.csv,ssr,NOBATCH,16,3.073770523071290,32
cloudify.csv,ssr,NOBATCH,32,2.254098415374760,33
cloudify.csv,ssr,BATCHSTOP4,4,41.18852615356450,76
cloudify.csv,ssr,BATCHSTOP4,8,0,0
cloudify.csv,ssr,BATCHSTOP4,16,0,0
cloudify.csv,ssr,BATCHSTOP4,32,0,0
cloudify.csv,ssr,BATCHBISECT,1,5.327868938446050,86
cloudify.csv,ssr,BATCHBISECT,2,7.172131061553960,73
cloudify.csv,ssr,BATCHBISECT,4,6.557376861572270,81
cloudify.csv,ssr,BATCHBISECT,8,10.860655784606900,76
cloudify.csv,ssr,BATCHBISECT,16,15.368852615356400,32
cloudify.csv,ssr,BATCHBISECT,32,19.87704849243160,33
cloudify.csv,ssr,BATCH4,4,6.557376861572270,81
concerto.csv,ssr,NOBATCH,1,5.1724138259887700,64
concerto.csv,ssr,NOBATCH,2,4.8275861740112300,79
concerto.csv,ssr,NOBATCH,4,4.482758522033690,62
concerto.csv,ssr,NOBATCH,8,3.7931034564971900,65
concerto.csv,ssr,NOBATCH,16,3.1034483909606900,36
concerto.csv,ssr,NOBATCH,32,2.068965435028080,36
concerto.csv,ssr,BATCHSTOP4,4,21.034482955932600,62
concerto.csv,ssr,BATCHSTOP4,8,43.7931022644043,7
concerto.csv,ssr,BATCHSTOP4,16,0,0
concerto.csv,ssr,BATCHSTOP4,32,0,0
concerto.csv,ssr,BATCHBISECT,1,5.1724138259887700,64
concerto.csv,ssr,BATCHBISECT,2,6.896551609039310,79
concerto.csv,ssr,BATCHBISECT,4,7.931034564971920,62
concerto.csv,ssr,BATCHBISECT,8,11.379310607910200,65
concerto.csv,ssr,BATCHBISECT,16,16.89655113220220,36
concerto.csv,ssr,BATCHBISECT,32,22.758621215820300,36
concerto.csv,ssr,BATCH4,4,7.241379261016850,62
graylog2-server.csv,ssr,NOBATCH,1,5.236907958984380,26
graylog2-server.csv,ssr,NOBATCH,2,4.9875311851501500,32
graylog2-server.csv,ssr,NOBATCH,4,4.488778114318850,43
graylog2-server.csv,ssr,NOBATCH,8,3.7406482696533200,28
graylog2-server.csv,ssr,NOBATCH,16,2.992518663406370,4
graylog2-server.csv,ssr,NOBATCH,32,1.9950125217437700,17
graylog2-server.csv,ssr,BATCHSTOP4,4,21.44638442993160,43
graylog2-server.csv,ssr,BATCHSTOP4,8,8.728179931640630,28
graylog2-server.csv,ssr,BATCHSTOP4,16,13.715710639953600,12
graylog2-server.csv,ssr,BATCHSTOP4,32,0,0
graylog2-server.csv,ssr,BATCHBISECT,1,5.236907958984380,26
graylog2-server.csv,ssr,BATCHBISECT,2,4.9875311851501500,32
graylog2-server.csv,ssr,BATCHBISECT,4,5.486284255981450,43
graylog2-server.csv,ssr,BATCHBISECT,8,6.7331671714782700,28
graylog2-server.csv,ssr,BATCHBISECT,16,12.967580795288100,4
graylog2-server.csv,ssr,BATCHBISECT,32,9.476308822631840,17
graylog2-server.csv,ssr,BATCH4,4,5.486284255981450,43
cloud_controller_ng.csv,ssr,NOBATCH,1,7.509881496429440,140
cloud_controller_ng.csv,ssr,NOBATCH,2,7.509881496429440,125
cloud_controller_ng.csv,ssr,NOBATCH,4,6.324110507965090,113
cloud_controller_ng.csv,ssr,NOBATCH,8,6.324110507965090,105
cloud_controller_ng.csv,ssr,NOBATCH,16,4.7430830001831100,72
cloud_controller_ng.csv,ssr,NOBATCH,32,3.9525692462921100,60
cloud_controller_ng.csv,ssr,BATCHSTOP4,4,17.39130401611330,113
cloud_controller_ng.csv,ssr,BATCHSTOP4,8,26.086956024169900,105
cloud_controller_ng.csv,ssr,BATCHSTOP4,16,36.75889205932620,74
cloud_controller_ng.csv,ssr,BATCHSTOP4,32,0,0
cloud_controller_ng.csv,ssr,BATCHBISECT,1,7.509881496429440,140
cloud_controller_ng.csv,ssr,BATCHBISECT,2,9.090909004211430,125
cloud_controller_ng.csv,ssr,BATCHBISECT,4,11.067193984985400,113
cloud_controller_ng.csv,ssr,BATCHBISECT,8,22.134387969970700,105
cloud_controller_ng.csv,ssr,BATCHBISECT,16,30.830039978027300,72
cloud_controller_ng.csv,ssr,BATCHBISECT,32,46.640316009521500,60
cloud_controller_ng.csv,ssr,BATCH4,4,11.067193984985400,113
loomio.csv,ssr,NOBATCH,1,6.829268455505370,109
loomio.csv,ssr,NOBATCH,2,6.829268455505370,126
loomio.csv,ssr,NOBATCH,4,5.853658676147460,96
loomio.csv,ssr,NOBATCH,8,5.853658676147460,76
loomio.csv,ssr,NOBATCH,16,4.390244007110600,65
loomio.csv,ssr,NOBATCH,32,2.4390244483947800,75
loomio.csv,ssr,BATCHSTOP4,4,19.512195587158200,96
loomio.csv,ssr,BATCHSTOP4,8,25.365854263305700,76
loomio.csv,ssr,BATCHSTOP4,16,37.56097412109380,40
loomio.csv,ssr,BATCHSTOP4,32,0,0
loomio.csv,ssr,BATCHBISECT,1,6.829268455505370,109
loomio.csv,ssr,BATCHBISECT,2,8.780488014221190,126
