,project,alg,batch_size,delay_list,median_delay
89,puppet,BATCHBISECT,16,[1],1.0
90,rails,BATCHBISECT,16,"[1, 1]",1.0
91,rubinius,BATCHBISECT,16,[0],0.0
92,sonarqube,BATCHBISECT,16,[1],1.0
93,sufia,BATCHBISECT,16,[0],0.0
94,vagrant,BATCHBISECT,16,[0],0.0
95,cloud_controller_ng,BATCHSTOP4,4,"[1, 2]",1.5
96,cloudify,BATCHSTOP4,4,"[6, 4]",5.0
97,concerto,BATCHSTOP4,4,"[1, 4, 1]",1.0
98,fog,BATCHSTOP4,4,[1],1.0
99,geoserver,BATCHSTOP4,4,[0],0.0
100,gradle,BATCHSTOP4,4,"[1, 1, 6]",1.0
101,graylog2-server,BATCHSTOP4,4,[0],0.0
102,jruby,BATCHSTOP4,4,"[2, 2, 1]",2.0
103,loomio,BATCHSTOP4,4,[0],0.0
104,metasploit-framework,BATCHSTOP4,4,[0],0.0
105,opal,BATCHSTOP4,4,[0],0.0
106,open-build-service,BATCHSTOP4,4,"[1, 3, 1, 1, 1]",1.0
107,orbeon-forms,BATCHSTOP4,4,[0],0.0
108,puppet,BATCHSTOP4,4,[0],0.0
109,rails,BATCHSTOP4,4,"[1, 3, 1, 1, 1, 1, 1, 2]",1.0
110,rubinius,BATCHSTOP4,4,[2],2.0
111,sonarqube,BATCHSTOP4,4,[1],1.0
112,sufia,BATCHSTOP4,4,[0],0.0
113,vagrant,BATCHSTOP4,4,[1],1.0
114,cloud_controller_ng,BATCHSTOP4,8,[3],3.0
115,cloudify,BATCHSTOP4,8,[0],0.0
116,concerto,BATCHSTOP4,8,[1],1.0
117,fog,BATCHSTOP4,8,[1],1.0
118,geoserver,BATCHSTOP4,8,[0],0.0
119,gradle,BATCHSTOP4,8,[0],0.0
120,graylog2-server,BATCHSTOP4,8,[0],0.0
121,jruby,BATCHSTOP4,8,[0],0.0
122,loomio,BATCHSTOP4,8,[0],0.0
123,metasploit-framework,BATCHSTOP4,8,[1],1.0
124,opal,BATCHSTOP4,8,[0],0.0
125,open-build-service,BATCHSTOP4,8,[0],0.0
126,orbeon-forms,BATCHSTOP4,8,[0],0.0
127,puppet,BATCHSTOP4,8,[1],1.0
128,rails,BATCHSTOP4,8,"[3, 1]",2.0
129,rubinius,BATCHSTOP4,8,[0],0.0
130,sonarqube,BATCHSTOP4,8,"[1, 1]",1.0
131,sufia,BATCHSTOP4,8,[0],0.0
132,vagrant,BATCHSTOP4,8,[0],0.0
133,cloud_controller_ng,BATCHSTOP4,16,[0],0.0
134,cloudify,BATCHSTOP4,16,[0],0.0
135,concerto,BATCHSTOP4,16,[0],0.0
136,fog,BATCHSTOP4,16,[1],1.0
137,geoserver,BATCHSTOP4,16,[0],0.0
138,gradle,BATCHSTOP4,16,[1],1.0
139,graylog2-server,BATCHSTOP4,16,[0],0.0
140,jruby,BATCHSTOP4,16,[0],0.0
141,loomio,BATCHSTOP4,16,[0],0.0
142,metasploit-framework,BATCHSTOP4,16,[0],0.0
143,opal,BATCHSTOP4,16,[1],1.0
144,open-build-service,BATCHSTOP4,16,[0],0.0
145,orbeon-forms,BATCHSTOP4,16,[0],0.0
146,puppet,BATCHSTOP4,16,[1],1.0
147,rails,BATCHSTOP4,16,"[1, 1]",1.0
148,rubinius,BATCHSTOP4,16,[0],0.0
149,sonarqube,BATCHSTOP4,16,[1],1.0
150,sufia,BATCHSTOP4,16,[0],0.0
151,vagrant,BATCHSTOP4,16,[0],0.0
