version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,3634567,44,0,0,0,0,1,3,17,3,passed
1,3634868,44,0,0,0,0,1,1,24,1,passed
1,3635055,726,0,0,2,0,16,1,801,1,passed
1,3635519,22,0,0,0,0,1,1,128,1,passed
1,3635526,22,0,0,0,0,1,1,129,1,passed
1,3635952,479,0,0,1,0,0,1,9,1,passed
1,3637668,833,0,0,2,0,4,1,218,1,passed
1,3639422,42,0,0,0,0,2,1,35,1,passed
1,3640000,241,0,41,9,0,0,1,5,1,passed
1,3642011,12,0,0,0,0,1,1,50,1,passed
1,3649148,6,0,0,0,0,2,1,25,1,passed
1,3650303,6,0,0,0,0,2,1,26,1,passed
1,3650458,59,0,0,0,0,1,8,79,8,passed
1,3650988,14,0,0,0,0,1,2,87,2,passed
1,3652803,17,0,0,0,0,1,1,89,1,passed
1,3654303,18,0,0,0,0,9,1,45,1,passed
1,3666917,63,0,0,0,0,1,3,90,3,passed
1,3666936,1,0,0,0,0,1,1,94,1,passed
1,3667356,4,0,0,0,0,1,1,31,1,failed
1,3670340,2061,0,41,13,0,33,1,992,1,passed
1,3680180,9,0,0,0,0,1,1,155,1,passed
1,3708485,292,0,5,1,0,22,1,164,1,passed
1,3708758,317,0,0,1,0,0,1,6,1,passed
1,3711260,4,0,0,0,0,2,1,63,1,passed
1,3716841,4,0,0,0,0,2,1,63,1,passed
1,3716899,2,0,0,0,0,1,1,8,1,passed
1,3716920,2,0,0,0,0,1,1,11,1,passed
1,3724011,33,0,0,0,0,3,1,11,1,passed
1,3724984,20,0,0,0,0,5,1,177,1,passed
1,3725102,6388,0,0,1390,81,646,2,6192,2,passed
1,3730483,49,0,0,0,0,3,2,66,2,passed
1,3731012,314,0,0,1,0,0,1,2,1,passed
1,3741267,200,0,0,1,0,1,2,6,2,passed
1,3747526,6,0,0,0,0,1,1,8,1,passed
1,3748475,6,0,0,0,0,1,1,8,1,failed
1,3749366,4,0,0,0,0,2,1,5,1,passed
1,3756051,5,0,0,0,0,1,1,53,1,passed
1,3761157,4,0,0,0,0,2,1,5,1,passed
1,3761186,7,0,0,0,0,1,2,54,2,passed
1,3764908,14,0,0,0,0,5,1,55,1,passed
1,3766258,14,0,0,0,0,5,1,55,1,passed
1,3777164,5,0,0,0,0,1,1,9,1,passed
1,3777396,2,0,0,0,0,1,1,26,1,passed
1,3778346,2,0,0,0,0,1,1,26,1,passed
1,3778412,23,0,0,0,0,1,1,17,1,passed
1,3778437,80,0,0,0,0,14,1,53,1,passed
1,3779848,246,0,0,1,0,1,2,1,2,passed
1,3779928,6,0,0,0,0,1,1,8,1,passed
1,3780819,501,0,0,0,0,1,2,24,2,passed
1,3782153,88,0,0,0,0,1,3,5,3,passed
1,3782582,475,0,0,0,0,1,1,26,1,passed
1,3782612,7,0,0,0,0,1,1,28,1,passed
1,3783661,288,0,0,0,0,1,1,17,1,passed
1,3783908,265,0,0,1,0,1,2,1,2,passed
1,3786325,701,0,0,1,0,2,8,21,8,passed
1,3788418,126,0,0,1,0,0,1,5,1,passed
1,3790731,417,0,0,0,0,1,2,35,2,passed
1,3790950,320,0,297,0,0,14,1,164,1,passed
1,3807532,4,0,0,0,0,1,1,165,1,passed
1,3808188,189,0,0,1,0,0,1,1,1,failed
1,3808205,17,0,0,0,0,1,1,11,1,passed
1,3808326,551,0,0,1,0,0,1,8,1,passed
1,3808658,187,0,0,2,0,1,3,1,3,passed
1,3810829,28,0,0,0,0,1,2,2,2,passed
1,3811114,2,0,0,0,0,1,1,4,1,passed
1,3811428,171,0,0,2,0,1,3,1,3,passed
1,3811991,18,0,0,0,0,1,1,2,1,passed
1,3817727,93,0,0,1,0,1,2,0,2,passed
1,3828546,22,0,0,0,0,1,2,2,2,passed
1,3828639,424,0,0,0,0,3,1,56,1,passed
1,3834821,3057,0,40,13,1,8,21,55,21,passed
1,3834912,25,0,0,0,0,1,3,14,3,passed
1,3841285,3,0,0,0,0,1,1,6,1,passed
1,3841329,8,0,0,0,0,1,2,7,2,passed
1,3846612,794,0,0,1,0,2,5,14,5,passed
1,3848134,59,0,0,1,0,1,2,0,2,passed
1,3851026,61,0,0,1,0,1,2,2,2,passed
1,3853415,83,0,0,0,0,2,3,29,3,passed
1,3854193,273,0,0,1,0,1,2,0,2,passed
1,3859350,273,0,0,1,0,1,2,0,2,passed
1,3859656,292,0,0,1,0,0,1,2,1,passed
1,3862251,158,0,0,1,0,0,1,4,1,passed
1,3863331,4,0,0,0,0,1,1,5,1,passed
1,3864272,95,0,0,0,0,1,1,19,1,passed
1,3876617,298,0,0,1,0,0,1,0,1,passed
1,3876660,298,0,0,1,0,0,1,0,1,passed
1,3880699,21,0,0,0,0,1,2,6,2,passed
1,3880742,21,0,0,0,0,1,2,6,2,passed
1,3881891,12,0,0,0,0,1,2,8,2,passed
1,3884473,1,0,0,0,0,1,1,10,1,passed
1,3887664,1,0,0,0,0,1,1,11,1,passed
1,3888703,5,0,0,0,0,1,1,12,1,passed
1,3890434,0,0,0,1,0,0,1,0,1,passed
1,3890489,37,0,0,0,0,1,1,1,1,passed
1,3922822,514,0,0,1,0,1,7,1,7,passed
1,3924656,10,0,0,0,0,1,1,1,1,passed
1,3924694,386,0,0,0,0,2,4,9,4,passed
1,3933810,386,0,0,0,0,2,1,13,1,passed
1,3935368,2,0,0,0,0,1,1,6,1,failed
1,3936468,255,0,0,0,0,2,2,11,2,passed
1,3937386,255,0,0,0,0,2,2,11,2,passed
1,3939136,9,0,0,0,0,1,1,4,1,failed
1,3939404,9,0,0,0,0,1,1,4,1,passed
1,3941087,31,0,0,0,0,1,1,416,1,passed
1,3941596,31,0,0,0,0,1,1,417,1,failed
1,3941927,698,0,0,0,0,13,1,509,1,passed
1,3942098,163,0,0,1,0,1,3,0,3,passed
1,3942483,1588,0,0,0,0,451,1,2287,1,passed
1,3942500,159,0,0,1,0,0,1,5,1,passed
1,3942572,0,0,0,0,0,1,1,42,1,passed
1,3942623,1501,0,0,0,0,1155,2,3550,2,passed
1,3946478,1460,0,0,0,0,1155,1,3552,1,passed
1,3946514,0,0,0,1,0,1,2,1,2,passed
1,3946555,84,0,0,1,0,3,1,89,1,passed
1,3946581,0,0,0,0,0,1,1,38,1,passed
1,3946737,4,0,0,0,0,1,1,3,1,passed
1,3948185,143,0,0,0,0,3,1,97,1,passed
1,3955394,84,0,0,1,0,16,1,138,1,passed
1,3956110,5,0,0,0,0,2,1,139,1,passed
1,3957366,89,0,0,1,0,16,1,145,1,passed
1,3958085,25,0,0,0,0,8,1,136,1,failed
1,3977716,23,0,0,0,0,1,1,99,1,failed
1,3977899,8,0,0,0,0,1,1,102,1,passed
1,3981758,4,0,0,0,0,1,1,56,1,passed
1,4000527,4,0,0,0,0,1,1,56,1,passed
1,4005564,872,0,0,0,0,178,3,1022,3,passed
1,4007094,88,0,0,1,0,0,1,2,1,failed
1,4007154,8,0,0,0,0,1,1,19,1,failed
1,4012130,21,0,0,0,0,2,1,426,1,passed
1,4012564,345,0,0,1,0,2,5,182,5,failed
1,4013498,295,0,0,1,0,2,2,187,2,failed
1,4015620,1325,0,0,2,0,185,4,1704,4,failed
1,4015647,2,0,0,1,0,1,1,17,1,failed
1,4015818,2,0,0,1,0,1,1,17,1,failed
1,4015901,2,0,0,0,0,1,1,184,1,passed
1,4015970,4,0,0,0,0,1,1,92,1,passed
1,4016490,0,1,0,0,0,1,1,1,1,passed
1,4022539,29,0,0,0,0,1,1,19,1,passed
1,4027479,4,0,0,0,0,1,1,425,1,failed
1,4027575,4,0,0,0,0,1,1,425,1,failed
1,4029165,1476,0,0,1,1,1,1,21,1,failed
1,4031638,1476,0,0,1,1,1,1,22,1,failed
1,4037451,0,0,0,0,0,3,1,13,1,failed
1,4038892,0,0,0,0,0,3,1,13,1,failed
1,4039495,2,0,0,0,0,1,1,20,1,passed
1,4049477,72,0,0,0,0,7,1,113,1,failed
1,4050660,395,0,0,2,0,2,4,1,4,passed
1,4051940,16,0,0,0,0,1,1,2,1,failed
1,4053948,174,0,0,1,0,0,1,5,1,failed
1,4054015,28,0,0,0,0,1,1,57,1,passed
1,4054057,2,0,0,0,0,1,1,12,1,failed
1,4054321,239,0,0,1,0,0,1,1,1,failed
1,4061308,8,0,0,0,0,1,1,6,1,passed
1,4061787,8,0,0,0,0,1,1,6,1,passed
1,4061824,2,0,0,0,0,1,1,101,1,passed
1,4062170,43,0,0,0,0,1,1,7,1,failed
1,4062922,92,0,123,10,0,0,1,4,1,passed
1,4068533,2,0,0,0,0,1,1,8,1,failed
1,4070196,2,0,0,0,0,1,1,9,1,passed
1,4074376,305,0,0,6,0,2,3,0,3,failed
1,4074534,305,0,0,6,0,2,3,0,3,failed
1,4074659,0,0,0,0,0,1,1,21,1,failed
1,4074683,14,0,0,0,0,1,1,54,1,failed
1,4075055,124,0,0,0,3,1,1,55,1,passed
1,4076380,126,0,0,5,0,1,2,57,2,passed
1,4076452,0,0,0,1,0,0,1,0,1,passed
1,4077860,326,0,0,0,0,1,5,83,5,passed
1,4078489,11,0,0,0,0,1,1,10,1,passed
1,4078554,11,0,0,0,0,1,1,11,1,passed
1,4078667,242,0,0,1,0,1,1,25,1,passed
1,4078877,16,0,0,0,0,1,2,87,2,passed
1,4079150,7,0,0,0,0,2,1,83,1,passed
1,4079347,10,0,0,4,0,1,2,3,2,passed
1,4081047,10,0,0,0,0,1,1,3,1,passed
1,4081644,18,0,0,0,0,1,1,14,1,passed
1,4084817,27,0,0,4,0,1,2,6,2,passed
1,4100890,0,0,0,1,0,0,1,0,1,passed
1,4100974,0,0,0,1,0,0,1,0,1,passed
1,4102249,4,0,0,0,0,1,1,15,1,passed
1,4102496,4,0,0,0,0,1,1,90,1,failed
1,4102536,0,0,0,0,0,1,1,42,1,failed
1,4102540,2,0,0,0,0,1,1,92,1,failed
1,4113396,20,0,0,0,0,5,2,156,2,passed
1,4144348,8,0,0,0,0,1,1,9,1,passed
1,4145487,171,0,0,1,0,1,9,1,9,failed
1,4146169,177,0,0,1,0,1,2,1,2,passed
1,4150264,205,0,0,1,0,1,2,1,2,failed
1,4150933,13,0,0,0,0,2,2,101,2,passed
1,4151121,11,0,0,0,0,2,1,103,1,failed
1,4151717,4,0,0,0,0,2,2,19,2,passed
1,4151805,2,0,0,0,0,1,1,17,1,passed
1,4152021,2,0,0,0,0,1,1,18,1,passed
1,4152729,4,0,0,0,0,1,2,100,2,failed
1,4154106,4,0,0,0,0,1,2,100,2,passed
1,4155882,362,0,0,1,0,1,5,0,5,passed
1,4170034,320,0,0,1,0,1,2,5,2,passed
1,4170187,15,0,0,0,0,1,1,22,1,failed
1,4217246,72,0,0,0,0,3,3,131,3,passed
1,4219097,2,0,0,0,0,1,1,14,1,failed
1,4220326,2,0,0,0,0,1,1,14,1,passed
1,4220474,80,0,0,1,0,0,1,3,1,passed
1,4238798,355,0,0,1,0,2,2,30,2,passed
1,4239777,151,0,0,0,0,3,2,105,2,passed
1,4266321,122,0,0,2,0,1,3,1,3,passed
1,4266575,5,0,0,0,0,1,1,2,1,passed
1,4267835,45,0,0,0,0,1,1,3,1,passed
1,4268561,187,0,0,1,0,1,2,4,2,passed
1,4271889,126,0,0,1,0,2,6,21,6,passed
1,4279947,69,0,0,0,0,2,1,27,1,passed
1,4299738,3,0,0,0,0,1,1,27,1,passed
1,4302772,14,0,0,0,0,1,1,5,1,passed
1,4304118,11,0,0,0,0,1,2,41,2,passed
1,4307422,231,0,0,6,0,0,1,2,1,passed
1,4309252,10,0,0,0,0,1,1,7,1,passed
1,4312602,10,0,0,0,0,1,1,7,1,failed
1,4323573,148,0,0,1,0,0,1,1,1,passed
1,4323592,446,0,0,1,0,28,1,150,1,passed
1,4324537,121,0,0,0,0,1,2,28,2,passed
1,4324575,12,0,0,0,0,1,1,430,1,passed
1,4324633,2,0,0,0,0,1,1,11,1,passed
1,4324796,187,0,0,0,0,1,2,23,2,passed
1,4324853,17,0,0,0,0,1,1,270,1,passed
1,4329194,4,0,0,0,0,1,1,2,1,passed
1,4332782,4,0,0,0,0,1,1,2,1,failed
1,4333686,2,0,0,0,0,1,1,23,1,passed
1,4334044,14,0,0,0,0,1,1,271,1,passed
1,4334262,21,0,0,0,0,1,1,272,1,passed
1,4334349,2,0,0,0,0,1,1,3,1,passed
1,4334587,2,0,0,0,0,1,1,3,1,passed
1,4335929,137,0,0,1,0,1,2,0,2,passed
1,4336465,45,0,0,0,0,5,2,302,2,passed
1,4339395,7,1,0,0,0,1,1,2,1,passed
1,4341294,112,0,0,1,0,0,1,0,1,failed
1,4342428,11,0,0,0,0,2,2,4,2,failed
1,4342722,4,0,0,0,0,1,2,5,2,passed
1,4346842,10,0,0,1,0,1,2,3,2,passed
1,4348977,2,0,0,0,0,1,1,34,1,passed
1,4353597,2,0,0,0,0,1,1,34,1,passed
1,4353629,8,0,0,0,0,4,1,66,1,passed
1,4354942,196,1,0,1,0,1,9,0,9,failed
1,4355566,122,0,0,1,0,0,1,9,1,failed
1,4356703,4,0,0,0,0,1,1,2,1,passed
1,4356769,4,0,0,0,0,1,1,3,1,passed
1,4358759,416,0,0,1,0,1,2,3,2,passed
