,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
146,146,rails.csv,BATCHSTOP4,8,15,66.1425576519916,4.0,7632
147,147,rails.csv,BATCHSTOP4,8,16,66.01153039832286,4.0,7632
148,148,rails.csv,BATCHSTOP4,8,17,65.95911949685535,4.0,7632
149,149,rails.csv,BATCHSTOP4,8,18,65.98532494758909,4.0,7632
150,150,rails.csv,BATCHSTOP4,8,19,65.85429769392034,4.0,7632
151,151,rails.csv,BATCHSTOP4,8,20,65.97222222222223,4.0,7632
152,152,rails.csv,BATCHSTOP4,16,2,75.98270440251572,8.0,7632
153,153,rails.csv,BATCHSTOP4,16,3,75.31446540880503,8.0,7632
154,154,rails.csv,BATCHSTOP4,16,4,75.23584905660377,8.0,7632
155,155,rails.csv,BATCHSTOP4,16,5,75.36687631027253,8.0,7632
156,156,rails.csv,BATCHSTOP4,16,6,74.76415094339623,8.0,7632
157,157,rails.csv,BATCHSTOP4,16,7,74.69863731656184,8.0,7632
158,158,rails.csv,BATCHSTOP4,16,8,74.04350104821803,8.0,7632
159,159,rails.csv,BATCHSTOP4,16,9,74.39727463312369,8.0,7632
160,160,rails.csv,BATCHSTOP4,16,10,74.35796645702307,8.0,7632
161,161,rails.csv,BATCHSTOP4,16,11,74.54140461215933,8.0,7632
162,162,rails.csv,BATCHSTOP4,16,12,74.13522012578616,8.0,7632
163,163,rails.csv,BATCHSTOP4,16,13,74.1090146750524,8.0,7632
164,164,rails.csv,BATCHSTOP4,16,14,74.18763102725367,8.0,7632
165,165,rails.csv,BATCHSTOP4,16,15,74.30555555555556,8.0,7632
166,166,rails.csv,BATCHSTOP4,16,16,74.13522012578616,8.0,7632
167,167,rails.csv,BATCHSTOP4,16,17,74.12211740041928,8.0,7632
168,168,rails.csv,BATCHSTOP4,16,18,74.12211740041928,8.0,7632
169,169,rails.csv,BATCHSTOP4,16,19,74.24004192872117,8.0,7632
170,170,rails.csv,BATCHSTOP4,16,20,74.12211740041928,8.0,7632
171,171,gradle.csv,BATCH4,4,2,36.9158878504673,1.0,1926
172,172,gradle.csv,BATCH4,4,3,32.65835929387331,1.5,1926
173,173,gradle.csv,BATCH4,4,4,27.570093457943926,2.0,1926
174,174,gradle.csv,BATCH4,4,5,23.520249221183803,2.0,1926
175,175,gradle.csv,BATCH4,4,6,20.924195223260643,2.0,1926
176,176,gradle.csv,BATCH4,4,7,19.41848390446521,2.0,1926
177,177,gradle.csv,BATCH4,4,8,21.599169262720665,2.0,1926
178,178,gradle.csv,BATCH4,4,9,18.06853582554517,2.0,1926
179,179,gradle.csv,BATCH4,4,10,17.082035306334372,2.0,1926
180,180,gradle.csv,BATCH4,4,11,17.289719626168225,2.0,1926
181,181,gradle.csv,BATCH4,4,12,13.966770508826585,2.0,1926
182,182,gradle.csv,BATCH4,4,13,11.11111111111111,2.0,1926
183,183,gradle.csv,BATCH4,4,14,12.201453790238835,2.0,1926
184,184,gradle.csv,BATCH4,4,15,11.318795430944965,2.0,1926
