,Unnamed: 0,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,sum_delay,method,confidence
126,126,gradle.csv,BATCH4,4,0.8826583592938733,53.0,1926,8005.0,sbs,
127,127,gradle.csv,BATCHBISECT,1,0.8826583592938733,53.0,1926,8005.0,sbs,
128,128,gradle.csv,BATCHBISECT,2,0.8826583592938733,53.0,1926,8005.0,sbs,
129,129,gradle.csv,BATCHBISECT,4,0.8826583592938733,53.0,1926,8005.0,sbs,
130,130,gradle.csv,BATCHBISECT,8,0.8826583592938733,53.0,1926,8005.0,sbs,
131,131,gradle.csv,BATCHBISECT,16,0.8826583592938733,53.0,1926,8005.0,sbs,
133,133,gradle.csv,BATCHSTOP4,8,0.8826583592938733,53.0,1926,8005.0,sbs,
134,134,gradle.csv,BATCHSTOP4,16,0.8826583592938733,53.0,1926,8005.0,sbs,
135,135,heroku.csv,BATCH4,4,14.577777777777778,11.0,1125,1158.0,sbs,
136,136,heroku.csv,BATCHBISECT,1,14.577777777777778,11.0,1125,1158.0,sbs,
137,137,heroku.csv,BATCHBISECT,2,14.577777777777778,11.0,1125,1158.0,sbs,
138,138,heroku.csv,BATCHBISECT,4,14.577777777777778,11.0,1125,1158.0,sbs,
139,139,heroku.csv,BATCHBISECT,8,14.577777777777778,11.0,1125,1158.0,sbs,
140,140,heroku.csv,BATCHBISECT,16,14.577777777777778,11.0,1125,1158.0,sbs,
142,142,heroku.csv,BATCHSTOP4,8,14.577777777777778,11.0,1125,1158.0,sbs,
143,143,heroku.csv,BATCHSTOP4,16,14.577777777777778,11.0,1125,1158.0,sbs,
144,144,sonarqube.csv,BATCH4,4,8.187134502923977,17.0,1710,5149.0,sbs,
145,145,sonarqube.csv,BATCHBISECT,1,8.187134502923977,17.0,1710,5149.0,sbs,
146,146,sonarqube.csv,BATCHBISECT,2,8.187134502923977,17.0,1710,5149.0,sbs,
147,147,sonarqube.csv,BATCHBISECT,4,8.187134502923977,17.0,1710,5149.0,sbs,
148,148,sonarqube.csv,BATCHBISECT,8,8.187134502923977,17.0,1710,5149.0,sbs,
149,149,sonarqube.csv,BATCHBISECT,16,8.187134502923977,17.0,1710,5149.0,sbs,
151,151,sonarqube.csv,BATCHSTOP4,8,8.187134502923977,17.0,1710,5149.0,sbs,
152,152,sonarqube.csv,BATCHSTOP4,16,8.187134502923977,17.0,1710,5149.0,sbs,
153,153,concerto.csv,BATCH4,4,3.864734299516908,30.0,1242,3214.0,sbs,
154,154,concerto.csv,BATCHBISECT,1,3.864734299516908,30.0,1242,3214.0,sbs,
155,155,concerto.csv,BATCHBISECT,2,3.864734299516908,30.0,1242,3214.0,sbs,
156,156,concerto.csv,BATCHBISECT,4,3.864734299516908,30.0,1242,3214.0,sbs,
157,157,concerto.csv,BATCHBISECT,8,3.864734299516908,30.0,1242,3214.0,sbs,
158,158,concerto.csv,BATCHBISECT,16,3.864734299516908,30.0,1242,3214.0,sbs,
160,160,concerto.csv,BATCHSTOP4,8,3.864734299516908,30.0,1242,3214.0,sbs,
161,161,concerto.csv,BATCHSTOP4,16,3.864734299516908,30.0,1242,3214.0,sbs,
162,162,rails.csv,BATCH4,4,24.10901467505241,6.0,7632,10504.0,sbs,
163,163,rails.csv,BATCHBISECT,1,24.10901467505241,6.0,7632,10504.0,sbs,
164,164,rails.csv,BATCHBISECT,2,24.10901467505241,6.0,7632,10504.0,sbs,
165,165,rails.csv,BATCHBISECT,4,24.10901467505241,6.0,7632,10504.0,sbs,
166,166,rails.csv,BATCHBISECT,8,24.10901467505241,6.0,7632,10504.0,sbs,
167,167,rails.csv,BATCHBISECT,16,24.10901467505241,6.0,7632,10504.0,sbs,
169,169,rails.csv,BATCHSTOP4,8,24.10901467505241,6.0,7632,10504.0,sbs,
170,170,rails.csv,BATCHSTOP4,16,24.10901467505241,6.0,7632,10504.0,sbs,
171,171,orbeon-forms.csv,BATCH4,4,64.44444444444444,2.0,1170,123.0,sbs,
172,172,orbeon-forms.csv,BATCHBISECT,1,64.44444444444444,2.0,1170,123.0,sbs,
173,173,orbeon-forms.csv,BATCHBISECT,2,64.44444444444444,2.0,1170,123.0,sbs,
174,174,orbeon-forms.csv,BATCHBISECT,4,64.44444444444444,2.0,1170,123.0,sbs,
175,175,orbeon-forms.csv,BATCHBISECT,8,64.44444444444444,2.0,1170,123.0,sbs,
176,176,orbeon-forms.csv,BATCHBISECT,16,64.44444444444444,2.0,1170,123.0,sbs,
178,178,orbeon-forms.csv,BATCHSTOP4,8,64.44444444444444,2.0,1170,123.0,sbs,
179,179,orbeon-forms.csv,BATCHSTOP4,16,64.44444444444444,2.0,1170,123.0,sbs,
1,1,rails.csv,BATCHBISECT,1,100.0,0.0,7632,,gr,
2,2,rails.csv,BATCHBISECT,2,84.0670859538784,0.5,7632,,gr,
