,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,method
114,puppet.csv,BATCHBISECT,4,38.25159914712154,2.0,2345,gr
115,puppet.csv,BATCHBISECT,8,30.95948827292111,4.0,2345,gr
116,puppet.csv,BATCHBISECT,16,28.784648187633262,8.0,2345,gr
118,puppet.csv,BATCHSTOP4,8,30.02132196162047,4.0,2345,gr
119,puppet.csv,BATCHSTOP4,16,27.84648187633262,8.0,2345,gr
13,rails.csv,BATCH4,4,74.14195739862713,2.0,14131,gr
8,rails.csv,BATCHBISECT,1,100.0,0.0,14131,gr
9,rails.csv,BATCHBISECT,2,86.29254829806808,1.0,14131,gr
10,rails.csv,BATCHBISECT,4,85.86087325737739,2.0,14131,gr
11,rails.csv,BATCHBISECT,8,89.63979902342368,4.0,14131,gr
12,rails.csv,BATCHBISECT,16,93.63810062982095,8.0,14131,gr
14,rails.csv,BATCHSTOP4,8,77.92088316467341,4.0,14131,gr
15,rails.csv,BATCHSTOP4,16,81.91918477107069,8.0,14131,gr
61,rubinius.csv,BATCH4,4,83.06270297277042,2.0,4003,gr
56,rubinius.csv,BATCHBISECT,1,100.0,0.0,4003,gr
57,rubinius.csv,BATCHBISECT,2,92.3807144641519,1.0,4003,gr
58,rubinius.csv,BATCHBISECT,4,96.40269797651762,2.0,4003,gr
59,rubinius.csv,BATCHBISECT,8,102.64801398950787,4.0,4003,gr
60,rubinius.csv,BATCHBISECT,16,107.4444166874844,8.0,4003,gr
62,rubinius.csv,BATCHSTOP4,8,89.30801898576068,4.0,4003,gr
63,rubinius.csv,BATCHSTOP4,16,94.1044216837372,8.0,4003,gr
77,sonarqube.csv,BATCH4,4,57.9247073710851,2.0,3161,gr
72,sonarqube.csv,BATCHBISECT,1,100.0,0.0,3161,gr
73,sonarqube.csv,BATCHBISECT,2,71.78108193609617,1.0,3161,gr
74,sonarqube.csv,BATCHBISECT,4,63.23948117684277,2.0,3161,gr
75,sonarqube.csv,BATCHBISECT,8,63.20784561847517,4.0,3161,gr
76,sonarqube.csv,BATCHBISECT,16,65.61214805441315,8.0,3161,gr
78,sonarqube.csv,BATCHSTOP4,8,57.89307181271749,4.0,3161,gr
79,sonarqube.csv,BATCHSTOP4,16,60.29737424865549,8.0,3161,gr
133,sufia.csv,BATCH4,4,51.26273814798405,2.0,2257,gr
128,sufia.csv,BATCHBISECT,1,100.0,0.0,2257,gr
129,sufia.csv,BATCHBISECT,2,66.77004873726185,1.0,2257,gr
130,sufia.csv,BATCHBISECT,4,54.89587948604342,2.0,2257,gr
131,sufia.csv,BATCHBISECT,8,52.32609658839167,4.0,2257,gr
132,sufia.csv,BATCHBISECT,16,53.34514842711564,8.0,2257,gr
134,sufia.csv,BATCHSTOP4,8,48.6929552503323,4.0,2257,gr
135,sufia.csv,BATCHSTOP4,16,49.71200708905627,8.0,2257,gr
53,vagrant.csv,BATCH4,4,39.04126513466765,2.0,4047,gr
48,vagrant.csv,BATCHBISECT,1,100.0,0.0,4047,gr
49,vagrant.csv,BATCHBISECT,2,59.30318754633061,1.0,4047,gr
50,vagrant.csv,BATCHBISECT,4,41.31455399061033,2.0,4047,gr
51,vagrant.csv,BATCHBISECT,8,34.59352606869286,4.0,4047,gr
52,vagrant.csv,BATCHBISECT,16,32.5920434890042,8.0,4047,gr
54,vagrant.csv,BATCHSTOP4,8,32.320237212750186,4.0,4047,gr
55,vagrant.csv,BATCHSTOP4,16,30.318754633061527,8.0,4047,gr
89,cloud_controller_ng.csv,BATCH4,4,28.744264602661133,2.0,2397,ssr
16,cloud_controller_ng.csv,BATCHBISECT,1,9.511889457702637,3.0,2397,ssr
36,cloud_controller_ng.csv,BATCHBISECT,2,16.478931427001953,1.0,2397,ssr
88,cloud_controller_ng.csv,BATCHBISECT,4,31.58114242553711,2.0,2397,ssr
132,cloud_controller_ng.csv,BATCHBISECT,8,55.27743148803711,4.0,2397,ssr
172,cloud_controller_ng.csv,BATCHBISECT,16,81.26824951171875,7.0,2397,ssr
133,cloud_controller_ng.csv,BATCHSTOP4,8,50.68836212158203,4.0,2397,ssr
173,cloud_controller_ng.csv,BATCHSTOP4,16,75.51105499267578,7.0,2397,ssr
47,cloudify.csv,BATCH4,4,23.020984649658203,2.0,4813,ssr
2,cloudify.csv,BATCHBISECT,1,15.063369750976562,0.0,4813,ssr
22,cloudify.csv,BATCHBISECT,2,21.08871841430664,1.0,4813,ssr
46,cloudify.csv,BATCHBISECT,4,29.004777908325195,2.0,4813,ssr
104,cloudify.csv,BATCHBISECT,8,36.67151641845703,4.0,4813,ssr
144,cloudify.csv,BATCHBISECT,16,46.24974060058594,8.0,4813,ssr
105,cloudify.csv,BATCHSTOP4,8,30.31373405456543,4.0,4813,ssr
145,cloudify.csv,BATCHSTOP4,16,39.10243225097656,8.0,4813,ssr
53,concerto.csv,BATCH4,4,11.483253479003906,2.0,2299,ssr
4,concerto.csv,BATCHBISECT,1,6.524575710296631,1.0,2299,ssr
24,concerto.csv,BATCHBISECT,2,6.655067443847656,1.0,2299,ssr
52,concerto.csv,BATCHBISECT,4,11.831231117248535,2.0,2299,ssr
108,concerto.csv,BATCHBISECT,8,23.57546806335449,4.0,2299,ssr
148,concerto.csv,BATCHBISECT,16,31.491952896118164,8.0,2299,ssr
109,concerto.csv,BATCHSTOP4,8,22.0965633392334,4.0,2299,ssr
149,concerto.csv,BATCHSTOP4,16,30.013050079345703,8.0,2299,ssr
59,fog.csv,BATCH4,4,45.05928802490234,2.0,2783,ssr
6,fog.csv,BATCHBISECT,1,15.199424743652344,2.0,2783,ssr
26,fog.csv,BATCHBISECT,2,27.5601863861084,1.0,2783,ssr
58,fog.csv,BATCHBISECT,4,54.07833099365234,2.0,2783,ssr
112,fog.csv,BATCHBISECT,8,76.96730041503906,4.0,2783,ssr
152,fog.csv,BATCHBISECT,16,89.68738555908203,8.0,2783,ssr
113,fog.csv,BATCHSTOP4,8,66.69062042236328,4.0,2783,ssr
153,fog.csv,BATCHSTOP4,16,78.54833221435547,8.0,2783,ssr
41,geoserver.csv,BATCH4,4,72.39797973632812,2.0,2181,ssr
0,geoserver.csv,BATCHBISECT,1,30.765703201293945,0.0,2181,ssr
20,geoserver.csv,BATCHBISECT,2,56.16689682006836,1.0,2181,ssr
40,geoserver.csv,BATCHBISECT,4,91.93030548095705,2.0,2181,ssr
100,geoserver.csv,BATCHBISECT,8,118.52361297607422,4.0,2181,ssr
140,geoserver.csv,BATCHBISECT,16,135.3507537841797,7.0,2181,ssr
101,geoserver.csv,BATCHSTOP4,8,96.42366027832033,4.0,2181,ssr
141,geoserver.csv,BATCHSTOP4,16,112.88399505615234,7.0,2181,ssr
98,gradle.csv,BATCH4,4,10.34482765197754,2.0,3567,ssr
19,gradle.csv,BATCHBISECT,1,5.747126579284668,1.0,3567,ssr
39,gradle.csv,BATCHBISECT,2,7.204934120178223,1.0,3567,ssr
97,gradle.csv,BATCHBISECT,4,10.681244850158691,2.0,3567,ssr
138,gradle.csv,BATCHBISECT,8,16.37230110168457,4.0,3567,ssr
178,gradle.csv,BATCHBISECT,16,26.380712509155277,8.0,3567,ssr
139,gradle.csv,BATCHSTOP4,8,15.475189208984377,4.0,3567,ssr
179,gradle.csv,BATCHSTOP4,16,25.2032527923584,8.0,3567,ssr
68,graylog2-server.csv,BATCH4,4,5.977229595184326,2.0,2108,ssr
9,graylog2-server.csv,BATCHBISECT,1,5.550284862518311,0.0,2108,ssr
