,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays
386.0,concerto.csv,ssr,BATCHSTOP4,8,15.17241382598877,392.0,12
387.0,concerto.csv,ssr,BATCHSTOP4,16,24.827587127685547,1440.0,8.0
388.0,concerto.csv,ssr,BATCH4,4,14.137930870056152,126.0,9
389.0,concerto.csv,ssr,BATCHBISECT,1,21.37931060791016,0.0,4
390.0,concerto.csv,ssr,BATCHBISECT,2,16.89655113220215,37.0,4
391.0,concerto.csv,ssr,BATCHBISECT,4,14.82758617401123,126.0,9
392.0,concerto.csv,ssr,BATCHBISECT,8,15.862069129943848,392.0,12
393.0,concerto.csv,ssr,BATCHBISECT,16,25.517240524291992,1440.0,8.0
394.0,cloud_controller_ng.csv,ssr,BATCHSTOP4,4,40.711463928222656,210.0,5
395.0,cloud_controller_ng.csv,ssr,BATCHSTOP4,8,67.98419189453125,659.0,12
396.0,cloud_controller_ng.csv,ssr,BATCHSTOP4,16,73.51778411865234,1626.0,10
397.0,cloud_controller_ng.csv,ssr,BATCH4,4,40.711463928222656,210.0,5
398.0,cloud_controller_ng.csv,ssr,BATCHBISECT,1,53.75494003295898,0.0,2
399.0,cloud_controller_ng.csv,ssr,BATCHBISECT,2,38.73517608642578,62.0,3
400.0,cloud_controller_ng.csv,ssr,BATCHBISECT,4,43.083003997802734,210.0,5
401.0,cloud_controller_ng.csv,ssr,BATCHBISECT,8,68.77470397949219,659.0,12
402.0,cloud_controller_ng.csv,ssr,BATCHBISECT,16,76.67984008789062,1626.0,10
403.0,cloudify.csv,ssr,BATCHSTOP4,4,11.680327415466309,174.0,6.5
404.0,cloudify.csv,ssr,BATCHSTOP4,8,15.368852615356444,644.0,8.5
405.0,cloudify.csv,ssr,BATCHSTOP4,16,14.34426212310791,2068.0,7.5
406.0,cloudify.csv,ssr,BATCH4,4,11.680327415466309,174.0,6.5
407.0,cloudify.csv,ssr,BATCHBISECT,1,25.81967163085937,0.0,3.0
408.0,cloudify.csv,ssr,BATCHBISECT,2,16.598360061645508,67.0,4
409.0,cloudify.csv,ssr,BATCHBISECT,4,12.090164184570312,174.0,6.5
410.0,cloudify.csv,ssr,BATCHBISECT,8,16.18852424621582,644.0,8.5
411.0,cloudify.csv,ssr,BATCHBISECT,16,15.163934707641602,2068.0,7.5
412.0,graylog2-server.csv,ssr,BATCHSTOP4,4,4.239401340484619,102.0,4
413.0,graylog2-server.csv,ssr,BATCHSTOP4,8,7.23192024230957,476.0,13
414.0,graylog2-server.csv,ssr,BATCHSTOP4,16,9.476308822631836,1495.0,13
415.0,graylog2-server.csv,ssr,BATCH4,4,4.239401340484619,102.0,4
416.0,graylog2-server.csv,ssr,BATCHBISECT,1,14.46384048461914,0.0,2.0
417.0,graylog2-server.csv,ssr,BATCHBISECT,2,8.478802680969238,30.0,6
418.0,graylog2-server.csv,ssr,BATCHBISECT,4,4.239401340484619,102.0,4
419.0,graylog2-server.csv,ssr,BATCHBISECT,8,7.23192024230957,476.0,13
420.0,graylog2-server.csv,ssr,BATCHBISECT,16,9.476308822631836,1495.0,13
421.0,fog.csv,ssr,BATCHSTOP4,4,46.72364807128906,283.0,5.0
422.0,fog.csv,ssr,BATCHSTOP4,8,46.43874740600586,700.0,10.0
423.0,fog.csv,ssr,BATCHSTOP4,16,61.53845977783203,2085.0,8
424.0,fog.csv,ssr,BATCH4,4,46.72364807128906,283.0,5.0
425.0,fog.csv,ssr,BATCHBISECT,1,53.56125259399414,0.0,2.0
426.0,fog.csv,ssr,BATCHBISECT,2,49.28775024414063,105.0,3.0
427.0,fog.csv,ssr,BATCHBISECT,4,52.421653747558594,283.0,5.0
428.0,fog.csv,ssr,BATCHBISECT,8,50.99715042114258,700.0,10.0
429.0,fog.csv,ssr,BATCHBISECT,16,66.66666412353516,2085.0,8
430.0,opal.csv,ssr,BATCHSTOP4,4,11.160714149475098,102.0,3.5
431.0,opal.csv,ssr,BATCHSTOP4,8,10.267857551574709,308.0,7
432.0,opal.csv,ssr,BATCHSTOP4,16,21.428571701049805,996.0,12.0
433.0,opal.csv,ssr,BATCH4,4,11.160714149475098,102.0,3.5
434.0,opal.csv,ssr,BATCHBISECT,1,7.589285850524902,0.0,4
435.0,opal.csv,ssr,BATCHBISECT,2,9.375,17.0,4
436.0,opal.csv,ssr,BATCHBISECT,4,12.053571701049805,102.0,3.5
437.0,opal.csv,ssr,BATCHBISECT,8,10.267857551574709,308.0,7
438.0,opal.csv,ssr,BATCHBISECT,16,22.321428298950195,996.0,12.0
439.0,geoserver.csv,ssr,BATCHSTOP4,4,76.78571319580078,198.0,3
440.0,geoserver.csv,ssr,BATCHSTOP4,8,97.61904907226562,533.0,6.0
441.0,geoserver.csv,ssr,BATCHSTOP4,16,110.11904907226562,1201.0,6.0
442.0,geoserver.csv,ssr,BATCH4,4,76.78571319580078,198.0,3
443.0,geoserver.csv,ssr,BATCHBISECT,1,43.4523811340332,0.0,3
444.0,geoserver.csv,ssr,BATCHBISECT,2,66.07142639160156,57.0,3
445.0,geoserver.csv,ssr,BATCHBISECT,4,85.11904907226562,198.0,3
446.0,geoserver.csv,ssr,BATCHBISECT,8,108.33333587646484,533.0,6.0
447.0,geoserver.csv,ssr,BATCHBISECT,16,120.83333587646484,1201.0,6.0
448.0,gradle.csv,ssr,BATCHSTOP4,4,10.592459678649902,222.0,7
449.0,gradle.csv,ssr,BATCHSTOP4,8,14.542190551757812,756.0,12
450.0,gradle.csv,ssr,BATCHSTOP4,16,18.85098648071289,2491.0,9.0
451.0,gradle.csv,ssr,BATCH4,4,10.592459678649902,222.0,7
452.0,gradle.csv,ssr,BATCHBISECT,1,34.29084396362305,0.0,2.0
453.0,gradle.csv,ssr,BATCHBISECT,2,13.285457611083984,62.0,5.0
454.0,gradle.csv,ssr,BATCHBISECT,4,10.592459678649902,222.0,7
455.0,gradle.csv,ssr,BATCHBISECT,8,14.542190551757812,756.0,12
456.0,gradle.csv,ssr,BATCHBISECT,16,18.85098648071289,2491.0,9.0
457.0,sonarqube.csv,ssr,BATCHSTOP4,4,17.66666603088379,150.0,7
458.0,sonarqube.csv,ssr,BATCHSTOP4,8,29.0,532.0,6.5
459.0,sonarqube.csv,ssr,BATCHSTOP4,16,43.66666793823242,1708.0,7.5
460.0,sonarqube.csv,ssr,BATCH4,4,17.66666603088379,150.0,7
461.0,sonarqube.csv,ssr,BATCHBISECT,1,36.33333206176758,0.0,3.0
462.0,sonarqube.csv,ssr,BATCHBISECT,2,30.66666603088379,68.0,3.5
463.0,sonarqube.csv,ssr,BATCHBISECT,4,17.66666603088379,150.0,7
464.0,sonarqube.csv,ssr,BATCHBISECT,8,29.0,532.0,6.5
465.0,sonarqube.csv,ssr,BATCHBISECT,16,44.33333206176758,1708.0,7.5
466.0,open-build-service.csv,ssr,BATCHSTOP4,4,28.540773391723636,261.0,5.5
467.0,open-build-service.csv,ssr,BATCHSTOP4,8,37.339054107666016,899.0,7
468.0,open-build-service.csv,ssr,BATCHSTOP4,16,61.80257415771485,3028.0,17
469.0,open-build-service.csv,ssr,BATCH4,4,28.540773391723636,261.0,5.5
470.0,open-build-service.csv,ssr,BATCHBISECT,1,37.55364990234375,0.0,3.0
471.0,open-build-service.csv,ssr,BATCHBISECT,2,40.77253341674805,134.0,2.5
472.0,open-build-service.csv,ssr,BATCHBISECT,4,29.399141311645508,261.0,5.5
473.0,open-build-service.csv,ssr,BATCHBISECT,8,37.76824188232422,899.0,7
474.0,open-build-service.csv,ssr,BATCHBISECT,16,62.660945892333984,3028.0,17
0.0,orbeon-forms.csv,ml,BATCH4,4,55.36480686695279,342.0,0.0
1.0,orbeon-forms.csv,ml,BATCHSTOP4,4,55.36480686695279,342.0,0.0
