tr_build_id,patch_size,num_of_comments,test_file_changes,files_added,files_deleted,num_commits,frequency_file_change,num_of_reviewers,developer_experience,reviewer_experience
10484953,0,0,0,0,0,1,201,0,357,357
10485850,4,0,0,0,0,1,3783,0,357,357
10504724,174,0,0,1,0,2,4,0,358,358
10507000,4,0,0,0,0,1,3784,0,358,358
10508990,124,0,0,0,0,1,5,0,346,346
10509990,4,0,0,0,0,1,3785,0,358,358
10512121,4,0,0,0,0,1,3786,0,358,358
10523182,69,0,0,1,0,1,0,0,346,346
10546939,4,0,0,0,0,1,3787,0,359,359
10548470,4,0,0,0,0,1,3788,0,359,359
10549988,4,0,0,0,0,1,3789,0,359,359
10557862,4,0,0,0,0,1,3790,0,359,359
10592847,4,0,0,0,0,1,3791,0,361,361
10592857,32,0,0,0,0,1,72,0,349,349
10602467,4,0,0,0,0,1,3792,0,361,361
10605609,4,0,0,0,0,1,3793,0,361,361
10605931,4,0,0,0,0,1,3794,0,361,361
10612575,4,0,0,0,0,1,3795,0,361,361
10612753,76,0,0,0,0,4,1150,0,361,361
10613759,0,0,1,0,0,1,2,0,361,361
10615015,4,0,0,0,0,1,3796,0,361,361
10618105,4,0,0,0,0,1,3797,0,362,362
10620184,2,0,0,0,0,1,113,0,361,361
10620499,4,0,0,0,0,1,3798,0,362,362
10621245,86,0,0,1,0,2,237,0,340,340
10621363,4,0,0,0,0,1,3799,0,362,362
10622574,166,0,1,1,0,1,5045,0,350,350
10625135,4,0,0,0,0,1,3801,0,362,362
10633477,4,0,0,0,0,1,3802,0,362,362
10647021,4,0,0,0,0,1,3803,0,362,362
10653652,4,0,0,0,0,1,19,0,350,350
10653849,7,0,0,0,0,1,115,0,350,350
10674775,2,0,0,0,0,1,12,0,356,356
10681568,4,0,0,0,0,1,3804,0,363,363
10683401,4,0,0,0,0,1,3805,0,363,363
10685597,4,0,0,0,0,1,3806,0,363,363
10693772,4,0,0,0,0,1,3807,0,363,363
10719854,4,0,0,0,0,1,3808,0,364,364
10727543,13,0,0,0,0,1,2,0,352,352
10766437,4,0,0,0,0,1,3810,0,365,365
10768757,4,0,0,0,0,1,3811,0,365,365
10771368,4,0,0,0,0,1,3812,0,365,365
10778140,4,0,0,0,0,1,3813,0,365,365
10810855,4,0,0,0,0,1,3814,0,366,366
10812902,4,0,0,0,0,1,3815,0,366,366
10814480,4,0,0,0,0,1,3816,0,366,366
10838824,4,0,0,0,0,1,3817,0,367,367
10840539,4,0,0,0,0,1,3818,0,367,367
10843637,4,0,0,0,0,1,3819,0,367,367
10853944,0,0,0,0,0,1,10,0,360,360
10854044,4,0,0,0,0,1,869,0,360,360
10857854,0,0,0,0,0,1,202,0,368,368
10859443,4,0,0,0,0,1,3820,0,368,368
10860357,4,0,0,0,0,1,3821,0,368,368
10862661,4,0,0,0,0,1,9,0,361,361
10868479,4,0,0,0,0,1,3822,0,368,368
10871034,4,0,0,0,0,1,3823,0,368,368
10881556,4,0,0,0,0,1,3824,0,368,368
10903713,4,0,0,0,0,1,3825,0,369,369
10906565,4,0,0,0,0,1,3826,0,369,369
10914869,4,0,0,0,0,1,3827,0,369,369
10918823,4,0,0,0,0,1,3828,0,369,369
10922597,4,0,0,0,0,1,3829,0,369,369
10946272,4,0,0,0,0,1,3830,0,370,370
10948199,4,0,0,0,0,1,3831,0,370,370
10955357,4,0,0,0,0,1,3832,0,370,370
10959345,4,0,0,0,0,1,3833,0,370,370
10965284,4,0,0,0,0,1,3834,0,370,370
10984728,4,0,0,0,0,1,3835,0,371,371
10986570,4,0,0,0,0,1,3836,0,371,371
10989396,4,0,0,0,0,1,3837,0,371,371
11027034,4,0,0,0,0,1,3838,0,372,372
11030658,4,0,0,0,0,1,3839,0,372,372
11032187,4,0,0,0,0,1,3840,0,372,372
11053090,4,0,0,0,0,1,3841,0,373,373
11069532,4,0,0,0,0,1,3842,0,373,373
11072048,4,0,0,0,0,1,3843,0,373,373
11073584,4,0,0,0,0,1,3844,0,373,373
11092079,4,0,0,0,0,1,3845,0,374,374
11101175,4,0,0,0,0,1,3846,0,374,374
11102854,4,0,0,0,0,1,3847,0,374,374
11114858,4,0,0,0,0,1,3848,0,374,374
11142418,30,0,0,0,0,1,210,0,367,367
11142800,2,0,0,0,0,1,114,0,334,334
11146339,4,0,0,0,0,1,3850,0,376,376
11146656,36,0,0,0,0,1,4152,0,375,375
11146817,367,0,218,7,1,12,19,0,375,375
11148475,0,0,0,1,0,1,5,0,375,375
11148664,16,0,2,0,0,1,35,0,375,375
11188748,0,0,0,0,0,2,313,0,363,0
11188756,0,0,0,0,0,1,286,0,363,363
11225513,0,0,0,0,0,1,115,0,364,0
11225541,0,0,0,0,0,1,116,0,364,364
11226546,0,0,0,0,0,2,377,0,364,0
11226548,0,0,0,0,0,1,379,0,364,364
11227963,0,0,0,0,0,1,205,0,377,377
11228412,6,0,0,0,0,1,3871,0,377,377
11229172,4,0,0,0,0,1,3872,0,378,378
11232883,11,0,0,0,0,2,82,0,364,0
11232900,11,0,0,0,0,1,84,0,364,364
11234286,11,0,0,0,0,1,27,0,364,0
11234288,11,0,0,0,0,1,28,0,364,364
11236073,0,0,0,0,0,1,206,0,0,0
11237353,0,0,0,0,0,1,117,0,0,0
11240732,4,0,0,0,0,1,3873,0,378,378
11277499,4,0,0,0,0,1,3876,0,379,379
11278672,0,0,0,0,0,1,207,0,379,379
11281944,4,0,0,0,0,1,4172,0,379,379
11294959,4,0,0,0,0,1,4173,0,379,379
11297410,4,0,0,0,0,1,4174,0,379,379
11298840,4,0,0,0,0,1,4175,0,379,379
11305864,4,0,0,0,0,1,4176,0,379,379
11328380,288,0,50,0,1,4,4233,0,0,0
11335224,4,0,0,0,0,1,4177,0,380,380
11336898,4,0,0,0,0,1,4178,0,380,380
11346617,4,0,0,0,0,1,4179,0,380,380
